Year,GeoAreaName,Location,Sex,Value
2015,Croatia,,FEMALE,201
2015,Croatia,,MALE,544
2019,Croatia,,BOTHSEX,676
2019,Croatia,,FEMALE,174
2019,Croatia,,MALE,502
2000,Cyprus,,BOTHSEX,19
2000,Cyprus,,FEMALE,6
2000,Cyprus,,MALE,13
2005,Cyprus,,FEMALE,7
2005,Cyprus,,MALE,20
2000,Poland,,BOTHSEX,6536
2000,Poland,,FEMALE,1076
2000,Poland,,MALE,5459
2005,Poland,,BOTHSEX,6806
2005,Poland,,FEMALE,1016
2005,Poland,,MALE,5790
2010,Poland,,FEMALE,951
2010,Poland,,MALE,6187
2010,Poland,,BOTHSEX,7138
2015,Poland,,MALE,5235
2005,Cyprus,,BOTHSEX,27
2010,Cyprus,,BOTHSEX,59
2010,Cyprus,,FEMALE,12
2010,Cyprus,,MALE,47
2015,Cyprus,,BOTHSEX,55
2015,Cyprus,,FEMALE,12
2015,Cyprus,,MALE,42
2019,Cyprus,,BOTHSEX,44
2019,Cyprus,,FEMALE,8
2019,Cyprus,,MALE,36
2000,Czechia,,FEMALE,359
2000,Czechia,,MALE,1316
2000,Czechia,,BOTHSEX,1675
2005,Czechia,,BOTHSEX,1621
2005,Czechia,,FEMALE,307
2005,Czechia,,MALE,1314
2010,Czechia,,BOTHSEX,1585
2010,Czechia,,FEMALE,273
2010,Czechia,,MALE,1312
2015,Czechia,,BOTHSEX,1439
2015,Poland,,FEMALE,795
2015,Poland,,BOTHSEX,6030
2019,Poland,,FEMALE,597
2019,Poland,,BOTHSEX,4282
2019,Poland,,MALE,3685
2000,Portugal,,FEMALE,163
2000,Portugal,,MALE,618
2000,Portugal,,BOTHSEX,781
2005,Portugal,,FEMALE,287
2005,Portugal,,MALE,907
2015,Czechia,,FEMALE,268
2015,Czechia,,MALE,1171
2019,Czechia,,MALE,1039
2019,Czechia,,BOTHSEX,1302
2019,Czechia,,FEMALE,263
2000,Denmark,,BOTHSEX,834
2000,Denmark,,FEMALE,236
2000,Denmark,,MALE,598
2005,Denmark,,MALE,544
2005,Denmark,,BOTHSEX,803
2005,Portugal,,BOTHSEX,1194
2010,Portugal,,MALE,1077
2010,Portugal,,BOTHSEX,1442
2010,Portugal,,FEMALE,365
2015,Portugal,,BOTHSEX,1369
2015,Portugal,,FEMALE,426
2015,Portugal,,MALE,943
2019,Portugal,,BOTHSEX,1172
2019,Portugal,,FEMALE,307
2019,Portugal,,MALE,865
2005,Denmark,,FEMALE,259
2010,Denmark,,BOTHSEX,655
2010,Denmark,,MALE,454
2010,Denmark,,FEMALE,202
2015,Denmark,,BOTHSEX,622
2015,Denmark,,FEMALE,206
2015,Denmark,,MALE,415
2019,Denmark,,BOTHSEX,617
2019,Denmark,,FEMALE,189
2019,Denmark,,MALE,429
