Year,GeoAreaName,Type of waste treatment,Value
2010,Belgium,RECYCL,58195
2012,Belgium,INCINRT_EGY,114014
2012,Belgium,OTHERWM,0
2012,Belgium,LANDFIL,739347
2012,Belgium,INCINRT,186829
2012,Belgium,RECYCL,61337
2014,Belgium,LANDFIL,960148
2014,Belgium,OTHERWM,0
2014,Belgium,INCINRT_EGY,134510
2014,Belgium,RECYCL,151901
2014,Belgium,INCINRT,287112
2010,Iceland,INCINRT,0
2010,Iceland,INCINRT_EGY,187
2010,Iceland,LANDFIL,1386
2010,Iceland,OTHERWM,0
2012,Iceland,OTHERWM,0
2012,Iceland,INCINRT_EGY,132
2012,Iceland,INCINRT,0
2012,Iceland,LANDFIL,758
2014,Iceland,INCINRT_EGY,1303
2014,Iceland,INCINRT,732
2014,Iceland,LANDFIL,10106
2014,Iceland,OTHERWM,0
2016,Iceland,INCINRT_EGY,2358
2016,Belgium,OTHERWM,0
2016,Belgium,LANDFIL,1219738
2016,Belgium,RECYCL,112277
2016,Belgium,INCINRT,258006
2016,Belgium,INCINRT_EGY,160745
2018,Belgium,RECYCL,253467
2018,Belgium,LANDFIL,1538654
2018,Belgium,OTHERWM,0
2018,Belgium,INCINRT_EGY,142024
2018,Belgium,INCINRT,357688
2020,Belgium,OTHERWM,0
2020,Belgium,LANDFIL,1266537
2020,Belgium,INCINRT_EGY,175783
2020,Belgium,RECYCL,332170
2020,Belgium,INCINRT,141517
2001,Bosnia and Herzegovina,INCINRT,0
2002,Bosnia and Herzegovina,INCINRT,0
2003,Bosnia and Herzegovina,INCINRT,0
2004,Bosnia and Herzegovina,INCINRT,0
2005,Bosnia and Herzegovina,INCINRT,0
2006,Bosnia and Herzegovina,INCINRT,0
2007,Bosnia and Herzegovina,INCINRT,0
2008,Bosnia and Herzegovina,INCINRT,0
2009,Bosnia and Herzegovina,INCINRT,0
2010,Bosnia and Herzegovina,INCINRT,0
2016,Iceland,OTHERWM,0
2016,Iceland,INCINRT,1352
2016,Iceland,LANDFIL,26531
2018,Iceland,OTHERWM,810
2018,Iceland,INCINRT_EGY,8
2018,Iceland,INCINRT,1277
2018,Iceland,LANDFIL,13490
2004,Ireland,OTHERWM,0
2004,Ireland,INCINRT,37303
2004,Ireland,INCINRT_EGY,6025
2004,Ireland,LANDFIL,13675
2006,Ireland,INCINRT,35121
2006,Ireland,INCINRT_EGY,9919
2011,Bosnia and Herzegovina,INCINRT,0
2012,Bosnia and Herzegovina,INCINRT,0
2016,Bosnia and Herzegovina,RECYCL,0
2020,Bosnia and Herzegovina,RECYCL,0
2004,Bulgaria,OTHERWM,0
2004,Bulgaria,INCINRT,44984
2004,Bulgaria,INCINRT_EGY,322
