Year,GeoAreaName,Education level,Location,Quantile,Sex,Value
2012,Albania,UPPSEC,ALLAREA,_T,BOTHSEX,67
2012,Albania,LOWSEC,ALLAREA,_T,BOTHSEX,96
2012,Albania,LOWSEC,ALLAREA,_T,MALE,95
2012,Albania,LOWSEC,ALLAREA,_T,FEMALE,96
2012,Albania,PRIMAR,ALLAREA,_T,BOTHSEX,98
2012,Albania,PRIMAR,ALLAREA,_T,MALE,97
2012,Albania,PRIMAR,ALLAREA,_T,FEMALE,98
2012,Albania,UPPSEC,ALLAREA,_T,MALE,67
2012,Albania,UPPSEC,ALLAREA,_T,FEMALE,65
2013,Albania,LOWSEC,ALLAREA,_T,FEMALE,97
2013,Albania,LOWSEC,ALLAREA,_T,MALE,95
2013,Albania,LOWSEC,ALLAREA,_T,BOTHSEX,96
2013,Albania,UPPSEC,ALLAREA,_T,BOTHSEX,70
2013,Albania,UPPSEC,ALLAREA,_T,FEMALE,69
2013,Albania,UPPSEC,ALLAREA,_T,MALE,69
2013,Albania,PRIMAR,ALLAREA,_T,FEMALE,98
2013,Albania,PRIMAR,ALLAREA,_T,MALE,97
2013,Albania,PRIMAR,ALLAREA,_T,BOTHSEX,98
2014,Albania,PRIMAR,ALLAREA,_T,BOTHSEX,98
2014,Albania,PRIMAR,ALLAREA,_T,MALE,97
2014,Albania,PRIMAR,ALLAREA,_T,FEMALE,98
2014,Albania,UPPSEC,ALLAREA,_T,MALE,71
2014,Albania,UPPSEC,ALLAREA,_T,FEMALE,73
2014,Albania,UPPSEC,ALLAREA,_T,BOTHSEX,73
2014,Albania,LOWSEC,ALLAREA,_T,BOTHSEX,96
2014,Albania,LOWSEC,ALLAREA,_T,MALE,95
2014,Albania,LOWSEC,ALLAREA,_T,FEMALE,97
2015,Albania,UPPSEC,ALLAREA,_T,FEMALE,76
2015,Albania,UPPSEC,ALLAREA,_T,MALE,73
2015,Albania,PRIMAR,ALLAREA,_T,FEMALE,98
2015,Albania,PRIMAR,ALLAREA,_T,MALE,97
2015,Albania,PRIMAR,ALLAREA,_T,BOTHSEX,98
2015,Albania,LOWSEC,ALLAREA,_T,FEMALE,97
2015,Albania,LOWSEC,ALLAREA,_T,MALE,95
2015,Albania,LOWSEC,ALLAREA,_T,BOTHSEX,96
2015,Albania,UPPSEC,ALLAREA,_T,BOTHSEX,75
2016,Albania,PRIMAR,ALLAREA,_T,BOTHSEX,97
2016,Albania,LOWSEC,ALLAREA,_T,FEMALE,97
2016,Albania,PRIMAR,ALLAREA,_T,MALE,97
2016,Albania,PRIMAR,ALLAREA,_T,FEMALE,98
2016,Albania,UPPSEC,ALLAREA,_T,MALE,76
