Year,GeoAreaName,Age,Value
2005,Tajikistan,15+,5.0622045116363
2006,Tajikistan,15+,5.09544388924857
2007,Tajikistan,15+,5.1303397539498
2008,Tajikistan,15+,5.38343575664952
2009,Tajikistan,15+,5.30353510314421
2010,Tajikistan,15+,5.53510183967784
2011,Tajikistan,15+,5.8309532014556
2012,Tajikistan,15+,6.30439386700684
2013,Tajikistan,15+,6.60132700144825
2014,Tajikistan,15+,6.79557681364251
2015,Tajikistan,15+,6.85822626726471
2016,Tajikistan,15+,6.70463914041828
2017,Tajikistan,15+,5.0148878375148
2018,Tajikistan,15+,4.64092292834936
2019,Tajikistan,15+,4.50080375148812
2020,Tajikistan,15+,4.52953280459813
2021,Tajikistan,15+,3.4054062461372
2005,Türkiye,15+,12.9426627869342
2006,Türkiye,15+,14.0542158038309
2007,Türkiye,15+,15.3234539858254
2008,Türkiye,15+,17.1613914007709
2009,Türkiye,15+,17.3392413908499
2010,Türkiye,15+,17.876037369562
2011,Türkiye,15+,18.2291729981739
2012,Türkiye,15+,18.6006415156202
2013,Türkiye,15+,19.6340486458381
2014,Türkiye,15+,19.5873343063305
2015,Türkiye,15+,19.1404351165351
2016,Türkiye,15+,18.0735285964439
2017,Türkiye,15+,17.3189485241596
2018,Türkiye,15+,16.8123316349187
2019,Türkiye,15+,16.0993937847601
2020,Türkiye,15+,15.4443202479497
2021,Türkiye,15+,15.0095431986454
2004,Ukraine,15+,3.71328511036872
2005,Ukraine,15+,3.86405565911092
2006,Ukraine,15+,3.87170931525777
2007,Ukraine,15+,3.85694761616469
2008,Ukraine,15+,3.73670694811594
2009,Ukraine,15+,3.22011226514475
2010,Ukraine,15+,2.3279403308021
2011,Ukraine,15+,1.60438083852198
2012,Ukraine,15+,1.07301701065675
2013,Ukraine,15+,0.920653752877397
2014,Ukraine,15+,0.76913646606427
2015,Ukraine,15+,0.564532434374673
2016,Ukraine,15+,0.496605856622637
2017,Ukraine,15+,0.454731769591854
2018,Ukraine,15+,0.433895824700337
2019,Ukraine,15+,0.420785551950171
2020,Ukraine,15+,0.409978598577709
2021,Ukraine,15+,0.385401229413637
2004,North Macedonia,15+,17.4997672903286
2005,North Macedonia,15+,16.6124608222799
2006,North Macedonia,15+,18.9999199681828
2007,North Macedonia,15+,20.1848030860321
2008,North Macedonia,15+,24.5921254691444
2009,North Macedonia,15+,25.5399796157546
2010,North Macedonia,15+,25.8440053466268
2011,North Macedonia,15+,24.324953102315
2012,North Macedonia,15+,24.8078273093712
2013,North Macedonia,15+,24.9007768340942
2014,North Macedonia,15+,24.9952514848578
2015,North Macedonia,15+,24.8023652278971
2016,North Macedonia,15+,25.1048839145529
2017,North Macedonia,15+,25.7394302042091
2018,North Macedonia,15+,24.2314029751547
2019,North Macedonia,15+,24.1900787271872
2020,North Macedonia,15+,23.2343882783376
2021,North Macedonia,15+,22.4224835096503
2004,Uzbekistan,15+,39.152550830561
2005,Uzbekistan,15+,40.0127868551673
2006,Uzbekistan,15+,42.3305877896576
2007,Uzbekistan,15+,41.4371802537822
2008,Uzbekistan,15+,40.6560357067331
2009,Uzbekistan,15+,40.2775258726025
2010,Uzbekistan,15+,39.1835281162935
2011,Uzbekistan,15+,45.835040824005
2012,Uzbekistan,15+,45.3182684722185
2013,Uzbekistan,15+,46.7880204185398
2014,Uzbekistan,15+,31.2836514768016
2015,Uzbekistan,15+,30.3913523201913
2016,Uzbekistan,15+,27.7242568129961
2017,Uzbekistan,15+,37.9579848128323
2018,Uzbekistan,15+,35.9241527656832
2019,Uzbekistan,15+,39.9833659160124
2020,Uzbekistan,15+,42.4441530132846
2021,Uzbekistan,15+,48.021102113033
2016,Bulgaria,15+,48.51510697884
2017,Bulgaria,15+,51.008904258368
2018,Bulgaria,15+,52.8026401320066
2019,Bulgaria,15+,57.8860842189596
2020,Bulgaria,15+,60.1912937122156
2021,Bulgaria,15+,61.4724407616468
2021,Bulgaria,15+,61.4724407616468
