Year,GeoAreaName,Deviation Level,Value
2020,Republic of Moldova,MEDIUM,11.13695
2020,Republic of Moldova,LOW,47.52321
2020,Republic of Moldova,EXTREME,22.59406
2020,Republic of Moldova,HIGH,18.74578
2021,Republic of Moldova,MEDIUM,10.64519
2021,Republic of Moldova,LOW,52.44654
2021,Republic of Moldova,EXTREME,23.31515
2021,Republic of Moldova,HIGH,13.59312
2017,Montenegro,MEDIUM,16.42477
2017,Montenegro,HIGH,16.39313
2017,Montenegro,EXTREME,24.34524
2017,Montenegro,LOW,42.83686
2018,Montenegro,EXTREME,12.94993
2018,Montenegro,MEDIUM,15.83041
2018,Montenegro,LOW,61.26661
2018,Montenegro,HIGH,9.95305
2019,Montenegro,HIGH,11.60598
2019,Montenegro,MEDIUM,18.19207
2019,Montenegro,LOW,53.5281
2019,Montenegro,EXTREME,16.67386
2020,Montenegro,LOW,49.61954
2020,Montenegro,MEDIUM,16.70292
2020,Montenegro,EXTREME,20.56695
2020,Montenegro,HIGH,13.11059
2021,Montenegro,EXTREME,10.34716
2021,Montenegro,MEDIUM,25.62009
2021,Montenegro,LOW,49.00271
2021,Uzbekistan,EXTREME,16.3809
2021,Uzbekistan,LOW,69.87068
2021,Uzbekistan,MEDIUM,5.79144
2021,Uzbekistan,HIGH,7.95698
2021,Montenegro,HIGH,15.03004
2021,Montenegro,HIGH,15.03004
