Year,GeoAreaName,Education level,Location,Quantile,Value
2008,Cyprus,LOWSEC,ALLAREA,_T,1.02911
2008,Cyprus,PRIMAR,ALLAREA,_T,1.00281
2009,Cyprus,PRIMAR,ALLAREA,_T,1.0029
2009,Cyprus,LOWSEC,ALLAREA,_T,1.03331
2009,Cyprus,UPPSEC,ALLAREA,_T,1.04589
2011,Armenia,LOWSEC,ALLAREA,Q2,1.03112
2011,Armenia,LOWSEC,ALLAREA,Q3,1.00258
2011,Armenia,PRIMAR,URBAN,_T,1
2011,Armenia,LOWSEC,ALLAREA,Q4,1
2011,Armenia,LOWSEC,ALLAREA,Q1,1.03733
2012,Armenia,PRIMAR,ALLAREA,_T,1.002
2012,Armenia,LOWSEC,ALLAREA,_T,1.0051
2012,Armenia,UPPSEC,ALLAREA,_T,1.08211
2013,Armenia,UPPSEC,ALLAREA,_T,1.07991
2013,Armenia,LOWSEC,ALLAREA,_T,1.00509
2013,Armenia,PRIMAR,ALLAREA,_T,1.002
2014,Armenia,PRIMAR,ALLAREA,_T,1.002
2014,Armenia,LOWSEC,ALLAREA,_T,1.00509
2014,Armenia,UPPSEC,ALLAREA,_T,1.07557
2015,Armenia,UPPSEC,ALLAREA,_T,1.06609
2015,Armenia,LOWSEC,ALLAREA,_T,1.0061
2015,Armenia,PRIMAR,ALLAREA,_T,1.002
2010,Cyprus,UPPSEC,ALLAREA,_T,1.03825
2010,Cyprus,LOWSEC,ALLAREA,_T,1.01028
2010,Cyprus,PRIMAR,ALLAREA,_T,1
2011,Cyprus,PRIMAR,ALLAREA,_T,1
2011,Cyprus,LOWSEC,ALLAREA,_T,1.05735
2011,Cyprus,UPPSEC,ALLAREA,_T,1.04643
2012,Cyprus,UPPSEC,ALLAREA,_T,1.08356
2012,Cyprus,LOWSEC,ALLAREA,_T,1.05709
2012,Cyprus,PRIMAR,ALLAREA,_T,1
2013,Cyprus,PRIMAR,ALLAREA,_T,1
2013,Cyprus,LOWSEC,ALLAREA,_T,1.00947
2013,Cyprus,UPPSEC,ALLAREA,_T,1.11973
2014,Cyprus,UPPSEC,ALLAREA,_T,1.09543
2014,Cyprus,LOWSEC,ALLAREA,_T,0.99546
2014,Cyprus,PRIMAR,ALLAREA,_T,0.9982
2015,Cyprus,PRIMAR,ALLAREA,_T,1
2015,Cyprus,LOWSEC,ALLAREA,_T,1.00679
