Year,GeoAreaName,IHR Capacity,Value
2017,Bosnia and Herzegovina,IHR09,0
2021,Belarus,SPAR2-C03,90
2021,Belarus,SPAR2-C04,100
2021,Belarus,SPAR2-C05,100
2021,Belarus,SPAR2-C06,100
2021,Belarus,SPAR2-C12,80
2021,Austria,SPAR2-C01,40
2021,Austria,SPAR2-C02,67
2021,Austria,SPAR2-C03,40
2021,Austria,SPAR2-C11,27
2021,Austria,SPAR2-C12,100
2021,Austria,SPAR2-C13,100
2021,Austria,SPAR2-C15,100
2021,Austria,SPAR2-C14,80
2021,Austria,SPAR2-C04,64
2021,Austria,SPAR2-C05,100
2011,Armenia,IHR10,100
2011,Armenia,IHR11,83
2011,Armenia,IHR13,92
2011,Armenia,IHR12,92
2011,Armenia,IHR01,75
2017,Bosnia and Herzegovina,IHR10,44
2017,Bosnia and Herzegovina,IHR01,100
2017,Bosnia and Herzegovina,IHR02,30
2017,Bosnia and Herzegovina,IHR05,63
2017,Bosnia and Herzegovina,IHR11,93
2021,Austria,SPAR2-C06,60
2021,Austria,SPAR2-C07,60
2021,Austria,SPAR2-C08,73
2021,Austria,SPAR2-C09,87
2021,Austria,SPAR2-C10,60
2011,Armenia,IHR02,90
2011,Armenia,IHR04,100
2011,Armenia,IHR08,40
2011,Armenia,IHR06,57
2011,Armenia,IHR05,87
2011,Armenia,IHR07,0
2012,Armenia,IHR10,100
2012,Armenia,IHR08,75
2012,Armenia,IHR07,80
2012,Armenia,IHR02,90
2017,Bosnia and Herzegovina,IHR12,54
2017,Bosnia and Herzegovina,IHR13,69
2018,Bosnia and Herzegovina,SPAR11,0
2018,Bosnia and Herzegovina,SPAR06,20
2018,Bosnia and Herzegovina,SPAR07,20
2018,Bosnia and Herzegovina,SPAR08,27
2012,Armenia,IHR06,86
2012,Armenia,IHR05,100
2012,Armenia,IHR13,93
2012,Armenia,IHR12,92
2012,Armenia,IHR11,87
2021,Belarus,SPAR2-C13,100
2021,Belarus,SPAR2-C14,100
2010,Cyprus,IHR09,88
2010,Cyprus,IHR10,69
2010,Cyprus,IHR01,75
2012,Armenia,IHR09,97
2012,Armenia,IHR04,94
2012,Armenia,IHR03,85
2012,Armenia,IHR01,75
2013,Armenia,IHR01,75
2018,Bosnia and Herzegovina,SPAR13,60
2018,Bosnia and Herzegovina,SPAR12,20
2018,Bosnia and Herzegovina,SPAR10,20
2018,Bosnia and Herzegovina,SPAR09,33
2018,Bosnia and Herzegovina,SPAR01,60
2018,Bosnia and Herzegovina,SPAR02,30
2010,Cyprus,IHR08,7
2010,Cyprus,IHR05,21
2010,Cyprus,IHR12,14
2010,Cyprus,IHR13,46
2010,Cyprus,IHR06,20
2010,Cyprus,IHR07,0
2010,Cyprus,IHR02,66
2010,Cyprus,IHR03,28
2010,Cyprus,IHR04,41
2010,Cyprus,IHR11,100
2011,Cyprus,IHR02,63
2011,Cyprus,IHR10,89
2011,Cyprus,IHR09,89
2011,Cyprus,IHR11,100
2011,Cyprus,IHR13,100
2018,Bosnia and Herzegovina,SPAR03,20
2018,Bosnia and Herzegovina,SPAR04,80
2018,Bosnia and Herzegovina,SPAR05,33
2019,Bosnia and Herzegovina,SPAR01,60
2019,Bosnia and Herzegovina,SPAR02,40
2019,Bosnia and Herzegovina,SPAR03,20
2011,Cyprus,IHR01,75
2011,Cyprus,IHR04,35
