Year,GeoAreaName,Type of renewable technology,Value
2003,Bosnia and Herzegovina,SOLAR,0
2003,Bosnia and Herzegovina,BIOENERGY,0
2004,Bosnia and Herzegovina,GEOTHERMAL,0
2004,Bosnia and Herzegovina,MARINE,0
2021,Armenia,SOLAR,0.13
2021,Armenia,HYDROPOWER,0
2021,Armenia,WIND,0
2021,Armenia,MARINE,0
2021,Armenia,MULTIPLE,49.27
2004,Bosnia and Herzegovina,BIOENERGY,0
2004,Bosnia and Herzegovina,SOLAR,0
2004,Bosnia and Herzegovina,MULTIPLE,0
2004,Bosnia and Herzegovina,WIND,0
2004,Bosnia and Herzegovina,ALL,7.3
2004,Bosnia and Herzegovina,HYDROPOWER,7.3
2005,Bosnia and Herzegovina,HYDROPOWER,0
2005,Bosnia and Herzegovina,MARINE,0
2005,Bosnia and Herzegovina,GEOTHERMAL,0
2005,Bosnia and Herzegovina,ALL,0
2013,Albania,MARINE,0
2013,Albania,ALL,69.83
2013,Albania,MULTIPLE,0
2013,Albania,BIOENERGY,0.94
2013,Albania,HYDROPOWER,68.89
2002,Azerbaijan,MARINE,0
2002,Azerbaijan,GEOTHERMAL,0
2002,Azerbaijan,MULTIPLE,0
2002,Azerbaijan,HYDROPOWER,0
2003,Azerbaijan,SOLAR,0
2013,Albania,WIND,0
2013,Albania,GEOTHERMAL,0
2014,Albania,BIOENERGY,0
2014,Albania,GEOTHERMAL,0
2014,Albania,WIND,0
2005,Bosnia and Herzegovina,SOLAR,0
2005,Bosnia and Herzegovina,BIOENERGY,0
2005,Bosnia and Herzegovina,WIND,0
2005,Bosnia and Herzegovina,MULTIPLE,0
2006,Bosnia and Herzegovina,MARINE,0
2014,Albania,HYDROPOWER,0
2014,Albania,ALL,0.01
2014,Albania,MARINE,0
2014,Albania,MULTIPLE,0.01
2014,Albania,SOLAR,0
2006,Bosnia and Herzegovina,WIND,0.29
2006,Bosnia and Herzegovina,BIOENERGY,0
2006,Bosnia and Herzegovina,SOLAR,0.19
2006,Bosnia and Herzegovina,MULTIPLE,12
2006,Bosnia and Herzegovina,ALL,12.48
2006,Bosnia and Herzegovina,GEOTHERMAL,0
2006,Bosnia and Herzegovina,HYDROPOWER,0
2007,Bosnia and Herzegovina,BIOENERGY,0.29
2007,Bosnia and Herzegovina,GEOTHERMAL,0
2007,Bosnia and Herzegovina,MULTIPLE,0
2015,Albania,GEOTHERMAL,0
2015,Albania,MULTIPLE,0
2015,Albania,WIND,0
2015,Albania,BIOENERGY,0
2015,Albania,SOLAR,0
2007,Bosnia and Herzegovina,MARINE,0
2007,Bosnia and Herzegovina,SOLAR,0
2007,Bosnia and Herzegovina,ALL,0.29
2007,Bosnia and Herzegovina,WIND,0
2007,Bosnia and Herzegovina,HYDROPOWER,0
2015,Albania,HYDROPOWER,24.78
2015,Albania,ALL,24.78
2015,Albania,MARINE,0
2016,Albania,ALL,0
2016,Albania,MULTIPLE,0
2021,Armenia,BIOENERGY,0
2000,Belarus,ALL,0
2000,Belarus,BIOENERGY,0
2000,Belarus,WIND,0
2000,Belarus,MULTIPLE,0
2008,Bosnia and Herzegovina,HYDROPOWER,0
2008,Bosnia and Herzegovina,SOLAR,0
2008,Bosnia and Herzegovina,ALL,23.44
2008,Bosnia and Herzegovina,MARINE,0
2008,Bosnia and Herzegovina,MULTIPLE,23.44
2003,Azerbaijan,MARINE,0
2003,Azerbaijan,MULTIPLE,0
2003,Azerbaijan,WIND,0
2003,Azerbaijan,HYDROPOWER,0
2003,Azerbaijan,ALL,0
2008,Bosnia and Herzegovina,WIND,0
2008,Bosnia and Herzegovina,GEOTHERMAL,0
2008,Bosnia and Herzegovina,BIOENERGY,0
2009,Bosnia and Herzegovina,WIND,0
2009,Bosnia and Herzegovina,MULTIPLE,0.11
2000,Belarus,HYDROPOWER,0
2000,Belarus,GEOTHERMAL,0
2000,Belarus,MARINE,0
2000,Belarus,SOLAR,0
2001,Belarus,SOLAR,0
2009,Bosnia and Herzegovina,MARINE,0
2009,Bosnia and Herzegovina,SOLAR,0
2009,Bosnia and Herzegovina,HYDROPOWER,0
2009,Bosnia and Herzegovina,GEOTHERMAL,0
2009,Bosnia and Herzegovina,BIOENERGY,0
2016,Albania,MARINE,0
2016,Albania,BIOENERGY,0
2016,Albania,GEOTHERMAL,0
2016,Albania,WIND,0
2016,Albania,HYDROPOWER,0
2001,Belarus,MARINE,0
2001,Belarus,WIND,0
2001,Belarus,BIOENERGY,0
2001,Belarus,ALL,0
2001,Belarus,GEOTHERMAL,0
2009,Bosnia and Herzegovina,ALL,0.11
2010,Bosnia and Herzegovina,ALL,96.84
2010,Bosnia and Herzegovina,BIOENERGY,0
2010,Bosnia and Herzegovina,GEOTHERMAL,0
2010,Bosnia and Herzegovina,HYDROPOWER,0
2010,Bosnia and Herzegovina,SOLAR,0
2010,Bosnia and Herzegovina,MULTIPLE,0
2010,Bosnia and Herzegovina,MARINE,0
2010,Bosnia and Herzegovina,WIND,96.84
2011,Bosnia and Herzegovina,GEOTHERMAL,0
2001,Belarus,HYDROPOWER,0
2001,Belarus,MULTIPLE,0
2002,Belarus,MARINE,0
2002,Belarus,SOLAR,0
2002,Belarus,BIOENERGY,0
2016,Albania,SOLAR,0
2017,Albania,WIND,0
2017,Albania,MULTIPLE,0.01
2017,Albania,SOLAR,0.12
2017,Albania,HYDROPOWER,0
2011,Bosnia and Herzegovina,BIOENERGY,0.89
2011,Bosnia and Herzegovina,WIND,0
2011,Bosnia and Herzegovina,MARINE,0
2011,Bosnia and Herzegovina,SOLAR,0
2011,Bosnia and Herzegovina,MULTIPLE,66.53
2011,Bosnia and Herzegovina,HYDROPOWER,0
2011,Bosnia and Herzegovina,ALL,67.42
2012,Bosnia and Herzegovina,WIND,0
2012,Bosnia and Herzegovina,SOLAR,0.26
2012,Bosnia and Herzegovina,MULTIPLE,0
2002,Belarus,ALL,0
2002,Belarus,WIND,0
2002,Belarus,MULTIPLE,0
2002,Belarus,HYDROPOWER,0
2002,Belarus,GEOTHERMAL,0
2003,Belarus,WIND,0
2003,Belarus,BIOENERGY,0
2003,Belarus,ALL,0
2003,Belarus,HYDROPOWER,0
2003,Belarus,MULTIPLE,0
2012,Bosnia and Herzegovina,ALL,0.95
2012,Bosnia and Herzegovina,HYDROPOWER,0
2012,Bosnia and Herzegovina,MARINE,0
2012,Bosnia and Herzegovina,BIOENERGY,0.69
2012,Bosnia and Herzegovina,GEOTHERMAL,0
2003,Belarus,SOLAR,0
2003,Belarus,MARINE,0
2003,Belarus,GEOTHERMAL,0
2004,Belarus,GEOTHERMAL,0
2004,Belarus,BIOENERGY,0
2013,Bosnia and Herzegovina,GEOTHERMAL,0.17
2013,Bosnia and Herzegovina,BIOENERGY,0.76
2013,Bosnia and Herzegovina,SOLAR,0.01
2013,Bosnia and Herzegovina,HYDROPOWER,0
2013,Bosnia and Herzegovina,ALL,97.38
2004,Belarus,MARINE,0
2004,Belarus,SOLAR,0
2004,Belarus,ALL,0
2004,Belarus,MULTIPLE,0
2004,Belarus,HYDROPOWER,0
2017,Albania,GEOTHERMAL,0
2017,Albania,BIOENERGY,0
2017,Albania,MARINE,0
2017,Albania,ALL,0.12
2018,Albania,GEOTHERMAL,0
2013,Bosnia and Herzegovina,MULTIPLE,96.44
2013,Bosnia and Herzegovina,WIND,0
2013,Bosnia and Herzegovina,MARINE,0
2014,Bosnia and Herzegovina,HYDROPOWER,37.87
2014,Bosnia and Herzegovina,MARINE,0
2004,Belarus,WIND,0
2005,Belarus,GEOTHERMAL,0
2005,Belarus,HYDROPOWER,0
2005,Belarus,MARINE,0
2005,Belarus,BIOENERGY,0
2014,Bosnia and Herzegovina,MULTIPLE,126.37
2014,Bosnia and Herzegovina,ALL,164.58
2014,Bosnia and Herzegovina,WIND,0
2014,Bosnia and Herzegovina,SOLAR,0
2014,Bosnia and Herzegovina,BIOENERGY,0.08
2014,Bosnia and Herzegovina,GEOTHERMAL,0.26
2015,Bosnia and Herzegovina,GEOTHERMAL,0.46
2015,Bosnia and Herzegovina,WIND,0
2015,Bosnia and Herzegovina,MARINE,0
2015,Bosnia and Herzegovina,HYDROPOWER,0
2005,Belarus,WIND,0
2005,Belarus,SOLAR,0
2005,Belarus,MULTIPLE,0
2005,Belarus,ALL,0
2006,Belarus,MULTIPLE,0
2006,Belarus,BIOENERGY,0
2006,Belarus,HYDROPOWER,0
2006,Belarus,MARINE,0
2006,Belarus,ALL,0
2006,Belarus,GEOTHERMAL,0
2015,Bosnia and Herzegovina,ALL,6.52
2015,Bosnia and Herzegovina,MULTIPLE,4.98
2015,Bosnia and Herzegovina,BIOENERGY,1.09
2015,Bosnia and Herzegovina,SOLAR,0
2016,Bosnia and Herzegovina,MULTIPLE,0.15
2018,Albania,SOLAR,0
2018,Albania,HYDROPOWER,0
2018,Albania,ALL,0
2018,Albania,MARINE,0
2018,Albania,BIOENERGY,0
