Year,GeoAreaName,Nature,Reporting Type,Units,Value
2017,Turkmenistan,NA,G,NUMBER,NaN
2018,Turkmenistan,NA,G,NUMBER,NaN
2019,Turkmenistan,NA,G,NUMBER,NaN
2020,Turkmenistan,NA,G,NUMBER,NaN
2021,Turkmenistan,NA,G,NUMBER,NaN
1995,Ukraine,E,G,NUMBER,55688
2000,Ukraine,E,G,NUMBER,71556
2005,Ukraine,E,G,NUMBER,83730
2010,Ukraine,E,G,NUMBER,95528
2012,Ukraine,C,G,NUMBER,100372
2014,Ukraine,E,G,NUMBER,102916
2016,Ukraine,E,G,NUMBER,105207
2017,Ukraine,E,G,NUMBER,106129
2018,Ukraine,E,G,NUMBER,107028
2019,Ukraine,E,G,NUMBER,107523
2020,Ukraine,E,G,NUMBER,107679
2021,Ukraine,C,G,NUMBER,107675
1995,North Macedonia,E,G,NUMBER,1351
2000,North Macedonia,E,G,NUMBER,1655
2005,North Macedonia,E,G,NUMBER,1843
2010,North Macedonia,C,G,NUMBER,2158
2012,North Macedonia,E,G,NUMBER,2158
2014,North Macedonia,E,G,NUMBER,2158
2016,North Macedonia,E,G,NUMBER,2158
2017,North Macedonia,E,G,NUMBER,2158
2018,North Macedonia,E,G,NUMBER,2158
2019,North Macedonia,E,G,NUMBER,2158
2020,North Macedonia,E,G,NUMBER,2158
2021,North Macedonia,E,G,NUMBER,2158
1995,Uzbekistan,E,G,NUMBER,60768
2000,Uzbekistan,E,G,NUMBER,61598
2005,Uzbekistan,E,G,NUMBER,63771
2010,Uzbekistan,E,G,NUMBER,64133
2012,Uzbekistan,E,G,NUMBER,64156
2014,Uzbekistan,E,G,NUMBER,66200
2016,Uzbekistan,E,G,NUMBER,68047
2017,Uzbekistan,E,G,NUMBER,68050
2018,Uzbekistan,E,G,NUMBER,68145
2019,Uzbekistan,E,G,NUMBER,68149
2020,Uzbekistan,C,G,NUMBER,68169
2021,Uzbekistan,E,G,NUMBER,68169
2014,Denmark,C,G,NUMBER,1474
2016,Denmark,C,G,NUMBER,1474
2017,Denmark,C,G,NUMBER,1474
2018,Denmark,E,G,NUMBER,1043
2019,Denmark,C,G,NUMBER,1043
2020,Denmark,E,G,NUMBER,1043
2021,Denmark,E,G,NUMBER,1043
2021,Denmark,E,G,NUMBER,1043
