Year,GeoAreaName,Age,Name of non-communicable disease,Sex,Value
2005,Italy,30-70,,MALE,15.4
2010,Italy,30-70,,MALE,13.5
2010,Italy,30-70,,FEMALE,7.6
2010,Italy,30-70,,BOTHSEX,10.4
2015,Italy,30-70,,FEMALE,7.3
2015,Italy,30-70,,MALE,12.4
2015,Italy,30-70,,BOTHSEX,9.8
2019,Italy,30-70,,BOTHSEX,9
2019,Italy,30-70,,FEMALE,6.8
2019,Italy,30-70,,MALE,11.3
2000,Kazakhstan,30-70,,BOTHSEX,41.5
2000,Kazakhstan,30-70,,FEMALE,29.7
2000,Kazakhstan,30-70,,MALE,54.2
2005,Kazakhstan,30-70,,MALE,50.1
2005,Kazakhstan,30-70,,BOTHSEX,37.6
2005,Kazakhstan,30-70,,FEMALE,26.4
2005,Republic of Moldova,30-70,,MALE,40.8
2010,Republic of Moldova,30-70,,BOTHSEX,29.9
2010,Republic of Moldova,30-70,,FEMALE,22.2
2010,Republic of Moldova,30-70,,MALE,38.5
2015,Republic of Moldova,30-70,,BOTHSEX,26.6
2015,Republic of Moldova,30-70,,MALE,35.5
2015,Republic of Moldova,30-70,,FEMALE,18.6
2019,Republic of Moldova,30-70,,FEMALE,15.7
2019,Republic of Moldova,30-70,,MALE,33.8
2019,Republic of Moldova,30-70,,BOTHSEX,24.1
2000,Montenegro,30-70,,BOTHSEX,24.8
2000,Montenegro,30-70,,FEMALE,19.3
2000,Montenegro,30-70,,MALE,30.5
2005,Montenegro,30-70,,MALE,32.9
2005,Montenegro,30-70,,FEMALE,19
2005,Montenegro,30-70,,BOTHSEX,25.8
2010,Montenegro,30-70,,BOTHSEX,23.6
2010,Montenegro,30-70,,FEMALE,17.9
2010,Montenegro,30-70,,MALE,29.7
2015,Montenegro,30-70,,BOTHSEX,22.8
2015,Montenegro,30-70,,FEMALE,16.7
2015,Montenegro,30-70,,MALE,29
2019,Montenegro,30-70,,BOTHSEX,22.3
2019,Montenegro,30-70,,FEMALE,16
2019,Montenegro,30-70,,MALE,28.6
2000,Netherlands,30-70,,BOTHSEX,16.5
2000,Netherlands,30-70,,FEMALE,12.5
2000,Netherlands,30-70,,MALE,20.4
2005,Netherlands,30-70,,BOTHSEX,14
2005,Netherlands,30-70,,FEMALE,11.2
2005,Netherlands,30-70,,MALE,16.8
2010,Netherlands,30-70,,FEMALE,10.4
2010,Netherlands,30-70,,MALE,14.7
2010,Netherlands,30-70,,BOTHSEX,12.6
2015,Netherlands,30-70,,BOTHSEX,11.2
2015,Netherlands,30-70,,MALE,12.7
2015,Netherlands,30-70,,FEMALE,9.7
2019,Netherlands,30-70,,BOTHSEX,10.3
2019,Netherlands,30-70,,FEMALE,9.1
2019,Netherlands,30-70,,MALE,11.6
2000,Norway,30-70,,BOTHSEX,14.3
2000,Norway,30-70,,FEMALE,11
2000,Norway,30-70,,MALE,17.7
2005,Norway,30-70,,BOTHSEX,12.3
2005,Norway,30-70,,FEMALE,9.9
2005,Norway,30-70,,MALE,14.8
2010,Norway,30-70,,FEMALE,9.1
2010,Norway,30-70,,MALE,13.4
2010,Norway,30-70,,BOTHSEX,11.3
2015,Norway,30-70,,BOTHSEX,9.5
2015,Norway,30-70,,FEMALE,7.7
2015,Norway,30-70,,MALE,11.2
2019,Norway,30-70,,BOTHSEX,8.7
2019,Norway,30-70,,FEMALE,7.4
2019,Norway,30-70,,MALE,10
2000,Poland,30-70,,BOTHSEX,25
2000,Poland,30-70,,FEMALE,16.4
2000,Poland,30-70,,MALE,34.4
2005,Poland,30-70,,BOTHSEX,22.5
2005,Poland,30-70,,FEMALE,14.4
2005,Poland,30-70,,MALE,31.3
2010,Poland,30-70,,BOTHSEX,20.6
2010,Poland,30-70,,FEMALE,13.4
2010,Poland,30-70,,MALE,28.4
2015,Poland,30-70,,FEMALE,12.8
2015,Poland,30-70,,MALE,26.5
2015,Poland,30-70,,BOTHSEX,19.4
2019,Poland,30-70,,BOTHSEX,17
2019,Poland,30-70,,FEMALE,11.5
2019,Poland,30-70,,MALE,22.8
2000,Portugal,30-70,,BOTHSEX,15.8
2000,Portugal,30-70,,FEMALE,10.9
2000,Portugal,30-70,,MALE,21.2
2005,Portugal,30-70,,BOTHSEX,14.2
2005,Portugal,30-70,,FEMALE,9.6
2005,Portugal,30-70,,MALE,19.1
2010,Portugal,30-70,,BOTHSEX,12.4
2010,Portugal,30-70,,MALE,17.2
2010,Portugal,30-70,,FEMALE,7.9
2015,Portugal,30-70,,MALE,16
2015,Portugal,30-70,,BOTHSEX,11.5
2015,Portugal,30-70,,FEMALE,7.3
2019,Portugal,30-70,,BOTHSEX,11
2019,Portugal,30-70,,MALE,15.4
2019,Portugal,30-70,,FEMALE,7
2000,Romania,30-70,,BOTHSEX,26.5
2000,Romania,30-70,,FEMALE,19.2
2000,Romania,30-70,,MALE,34.2
2005,Romania,30-70,,BOTHSEX,25.5
2005,Romania,30-70,,FEMALE,17.9
2005,Romania,30-70,,MALE,33.7
2010,Romania,30-70,,BOTHSEX,23.1
