Year,GeoAreaName,Type of renewable technology,Value
2018,Tajikistan,HYDROPOWER,564.568
2018,Tajikistan,ALL,564.568
2019,Tajikistan,ALL,564.79
2019,Tajikistan,HYDROPOWER,564.79
2020,Tajikistan,HYDROPOWER,552.556
2020,Tajikistan,ALL,552.556
2021,Tajikistan,ALL,540.946
2021,Tajikistan,HYDROPOWER,540.946
2000,Türkiye,HYDROPOWER,174.3
2000,Türkiye,ALL,176.064
2000,Türkiye,BIOENERGY,1.185
2000,Türkiye,GEOTHERMAL,0.281
2000,Türkiye,SOLAR,0.002
2000,Türkiye,WIND,0.296
2001,Türkiye,WIND,0.292
2001,Türkiye,SOLAR,0.005
2001,Türkiye,GEOTHERMAL,0.277
2001,Türkiye,BIOENERGY,1.168
2001,Türkiye,ALL,181.127
2001,Türkiye,HYDROPOWER,179.386
2002,Türkiye,HYDROPOWER,185.502
2002,Türkiye,ALL,187.299
2002,Türkiye,BIOENERGY,1.227
2002,Türkiye,GEOTHERMAL,0.273
2002,Türkiye,SOLAR,0.009
2002,Türkiye,WIND,0.288
2003,Türkiye,WIND,0.284
2003,Türkiye,SOLAR,0.015
2003,Türkiye,GEOTHERMAL,0.224
2003,Türkiye,BIOENERGY,1.211
2003,Türkiye,ALL,189.854
2003,Türkiye,HYDROPOWER,188.119
2004,Türkiye,HYDROPOWER,186.545
2004,Türkiye,ALL,188.264
2004,Türkiye,BIOENERGY,1.195
2004,Türkiye,GEOTHERMAL,0.221
2004,Türkiye,SOLAR,0.022
2004,Türkiye,WIND,0.28
2005,Türkiye,WIND,0.306
2005,Türkiye,SOLAR,0.029
2005,Türkiye,GEOTHERMAL,0.218
2005,Türkiye,BIOENERGY,1.179
2005,Türkiye,ALL,189.579
2005,Türkiye,HYDROPOWER,187.847
2006,Türkiye,HYDROPOWER,187.683
2006,Türkiye,ALL,190.133
2006,Türkiye,BIOENERGY,1.236
2006,Türkiye,GEOTHERMAL,0.33
2006,Türkiye,SOLAR,0.036
2006,Türkiye,WIND,0.848
2007,Türkiye,WIND,2.072
2007,Türkiye,SOLAR,0.043
2007,Türkiye,GEOTHERMAL,0.326
2007,Türkiye,BIOENERGY,1.249
2007,Türkiye,ALL,193.774
2007,Türkiye,HYDROPOWER,190.084
2008,Türkiye,HYDROPOWER,193.899
2008,Türkiye,ALL,200.905
2008,Türkiye,BIOENERGY,1.43
2008,Türkiye,GEOTHERMAL,0.421
2008,Türkiye,SOLAR,0.052
2008,Türkiye,WIND,5.104
2009,Türkiye,WIND,10.966
2009,Türkiye,SOLAR,0.065
2009,Türkiye,GEOTHERMAL,1.066
2009,Türkiye,BIOENERGY,1.412
2009,Türkiye,ALL,215.003
2009,Türkiye,HYDROPOWER,201.494
2010,Türkiye,HYDROPOWER,216.284
2010,Türkiye,ALL,237.292
2010,Türkiye,BIOENERGY,1.612
2010,Türkiye,GEOTHERMAL,1.284
2010,Türkiye,SOLAR,0.078
2010,Türkiye,WIND,18.034
2011,Türkiye,WIND,23.31
2011,Türkiye,SOLAR,0.09
2011,Türkiye,GEOTHERMAL,1.537
2011,Türkiye,BIOENERGY,1.335
2011,Türkiye,ALL,257.31
2011,Türkiye,HYDROPOWER,231.038
2012,Türkiye,HYDROPOWER,260.49
2012,Türkiye,ALL,294.719
2012,Türkiye,BIOENERGY,1.886
2012,Türkiye,GEOTHERMAL,2.152
2012,Türkiye,SOLAR,0.155
2012,Türkiye,WIND,30.036
2013,Türkiye,WIND,36.043
2013,Türkiye,SOLAR,0.244
2013,Türkiye,GEOTHERMAL,4.061
2013,Türkiye,BIOENERGY,2.246
2013,Türkiye,ALL,333.664
2013,Türkiye,HYDROPOWER,291.07
2014,Türkiye,HYDROPOWER,302.68
2014,Türkiye,ALL,357.691
2014,Türkiye,BIOENERGY,2.829
2014,Türkiye,GEOTHERMAL,5.185
2014,Türkiye,SOLAR,0.525
2014,Türkiye,WIND,46.472
2015,Türkiye,WIND,56.538
2015,Türkiye,SOLAR,3.139
2015,Türkiye,GEOTHERMAL,7.835
2015,Türkiye,BIOENERGY,3.403
2015,Türkiye,ALL,395.7
2015,Türkiye,HYDROPOWER,324.786
2016,Türkiye,HYDROPOWER,329.316
2016,Türkiye,ALL,425.157
2016,Türkiye,BIOENERGY,4.431
2016,Türkiye,GEOTHERMAL,10.133
2016,Türkiye,SOLAR,10.294
2016,Türkiye,WIND,70.983
2017,Türkiye,WIND,79.378
2017,Türkiye,SOLAR,41.682
2017,Türkiye,GEOTHERMAL,12.958
2017,Türkiye,BIOENERGY,5.747
2017,Türkiye,ALL,472.001
2017,Türkiye,HYDROPOWER,332.235
2018,Türkiye,HYDROPOWER,341.645
2018,Türkiye,ALL,509.972
2018,Türkiye,BIOENERGY,7.094
2018,Türkiye,GEOTHERMAL,15.488
2018,Türkiye,SOLAR,61.148
2018,Türkiye,WIND,84.597
2019,Türkiye,WIND,90.932
2019,Türkiye,SOLAR,71.826
2019,Türkiye,GEOTHERMAL,18.144
2019,Türkiye,BIOENERGY,9.386
2019,Türkiye,ALL,531.716
2019,Türkiye,HYDROPOWER,341.428
2020,Türkiye,HYDROPOWER,368.262
2020,Türkiye,ALL,584.717
2020,Türkiye,BIOENERGY,13.044
2020,Türkiye,GEOTHERMAL,19.174
2020,Türkiye,SOLAR,79.258
2020,Türkiye,WIND,104.978
2021,Türkiye,WIND,125.119
2021,Türkiye,SOLAR,92.204
2021,Türkiye,GEOTHERMAL,19.772
2021,Türkiye,BIOENERGY,19.313
2021,Türkiye,ALL,627.891
2021,Türkiye,HYDROPOWER,371.483
2000,Turkmenistan,HYDROPOWER,0.263
2000,Turkmenistan,ALL,0.263
2001,Turkmenistan,ALL,0.259
2001,Turkmenistan,HYDROPOWER,0.259
2002,Turkmenistan,HYDROPOWER,0.255
2002,Turkmenistan,ALL,0.255
2003,Turkmenistan,ALL,0.252
2003,Turkmenistan,HYDROPOWER,0.252
2004,Turkmenistan,HYDROPOWER,0.249
2004,Turkmenistan,ALL,0.249
2005,Turkmenistan,ALL,0.246
2005,Turkmenistan,HYDROPOWER,0.246
2006,Turkmenistan,HYDROPOWER,0.242
2006,Turkmenistan,ALL,0.242
2007,Turkmenistan,ALL,0.239
2007,Turkmenistan,HYDROPOWER,0.239
2008,Turkmenistan,HYDROPOWER,0.235
2008,Turkmenistan,ALL,0.235
2009,Turkmenistan,ALL,0.232
2009,Turkmenistan,HYDROPOWER,0.232
2010,Turkmenistan,HYDROPOWER,0.228
2010,Turkmenistan,ALL,0.228
2011,Turkmenistan,ALL,0.224
2011,Turkmenistan,HYDROPOWER,0.224
2012,Turkmenistan,HYDROPOWER,0.22
2012,Turkmenistan,ALL,0.22
2013,Turkmenistan,ALL,0.216
2013,Turkmenistan,HYDROPOWER,0.216
2014,Turkmenistan,HYDROPOWER,0.212
2014,Turkmenistan,ALL,0.212
2015,Turkmenistan,ALL,0.208
2015,Turkmenistan,HYDROPOWER,0.208
2016,Turkmenistan,HYDROPOWER,0.204
2016,Turkmenistan,ALL,0.204
2017,Turkmenistan,ALL,0.201
2017,Turkmenistan,HYDROPOWER,0.201
2018,Turkmenistan,HYDROPOWER,0.198
2018,Turkmenistan,ALL,0.198
2019,Turkmenistan,ALL,0.195
2019,Turkmenistan,HYDROPOWER,0.195
2020,Turkmenistan,HYDROPOWER,0.192
2020,Turkmenistan,ALL,0.192
2021,Turkmenistan,ALL,0.347
2021,Turkmenistan,HYDROPOWER,0.347
2000,Uzbekistan,ALL,64.031
2000,Uzbekistan,HYDROPOWER,64.031
2000,Uzbekistan,SOLAR,0
2000,Uzbekistan,WIND,0
2001,Uzbekistan,WIND,0
2001,Uzbekistan,SOLAR,0
2001,Uzbekistan,HYDROPOWER,63.212
2001,Uzbekistan,ALL,63.212
2002,Uzbekistan,ALL,62.395
2002,Uzbekistan,HYDROPOWER,62.395
2002,Uzbekistan,SOLAR,0
2002,Uzbekistan,WIND,0
2003,Uzbekistan,WIND,0
2003,Uzbekistan,SOLAR,0
2003,Uzbekistan,HYDROPOWER,61.723
2003,Uzbekistan,ALL,61.723
2004,Uzbekistan,ALL,66.743
2004,Uzbekistan,HYDROPOWER,66.743
2004,Uzbekistan,SOLAR,0
2004,Uzbekistan,WIND,0
2005,Uzbekistan,WIND,0
2005,Uzbekistan,SOLAR,0
