Year,GeoAreaName,Age,Freq,Location,Sex,Value
2020,Belgium,ALLAGE,,,BOTHSEX,146.1
2020,Belgium,15+,,,FEMALE,<100
2020,Belgium,15+,,,MALE,<100
2015,Bosnia and Herzegovina,15+,,,FEMALE,<100
2015,Bosnia and Herzegovina,ALLAGE,,,BOTHSEX,<100
2015,Italy,15+,,,MALE,365.2
2015,Italy,ALLAGE,,,BOTHSEX,734.9
2015,Italy,15+,,,FEMALE,266.3
2016,Italy,15+,,,FEMALE,224.3
2016,Italy,15+,,,MALE,366
2016,Italy,ALLAGE,,,BOTHSEX,669
2017,Italy,15+,,,MALE,429.3
2017,Italy,15+,,,FEMALE,197.8
2017,Italy,ALLAGE,,,BOTHSEX,683.9
2018,Italy,15+,,,FEMALE,194.3
2018,Italy,15+,,,MALE,417.4
2018,Italy,ALLAGE,,,BOTHSEX,661.5
2019,Italy,15+,,,FEMALE,156.7
2019,Italy,ALLAGE,,,BOTHSEX,731.5
2019,Italy,15+,,,MALE,372.2
2020,Italy,15+,,,FEMALE,183.9
2020,Italy,15+,,,MALE,445.9
2020,Italy,ALLAGE,,,BOTHSEX,1154.6
2015,Bosnia and Herzegovina,15+,,,MALE,<100
2016,Bosnia and Herzegovina,15+,,,MALE,<100
2016,Bosnia and Herzegovina,ALLAGE,,,BOTHSEX,<100
2016,Bosnia and Herzegovina,15+,,,FEMALE,<100
2017,Bosnia and Herzegovina,15+,,,FEMALE,<100
2017,Bosnia and Herzegovina,ALLAGE,,,BOTHSEX,<100
2017,Bosnia and Herzegovina,15+,,,MALE,<100
2018,Bosnia and Herzegovina,ALLAGE,,,BOTHSEX,<100
2018,Bosnia and Herzegovina,15+,,,MALE,<100
2015,Kazakhstan,ALLAGE,,,BOTHSEX,NaN
2015,Kazakhstan,15+,,,FEMALE,NaN
2015,Kazakhstan,15+,,,MALE,NaN
2016,Kazakhstan,15+,,,MALE,NaN
2016,Kazakhstan,15+,,,FEMALE,NaN
2016,Kazakhstan,ALLAGE,,,BOTHSEX,NaN
2017,Kazakhstan,15+,,,FEMALE,122.5
2017,Kazakhstan,ALLAGE,,,BOTHSEX,<100
2017,Kazakhstan,15+,,,MALE,<100
2018,Kazakhstan,ALLAGE,,,BOTHSEX,<100
2018,Bosnia and Herzegovina,15+,,,FEMALE,<100
2019,Bosnia and Herzegovina,ALLAGE,,,BOTHSEX,<100
2019,Bosnia and Herzegovina,15+,,,FEMALE,<100
2019,Bosnia and Herzegovina,15+,,,MALE,<100
2020,Bosnia and Herzegovina,ALLAGE,,,BOTHSEX,<100
2020,Bosnia and Herzegovina,15+,,,FEMALE,<100
2020,Bosnia and Herzegovina,15+,,,MALE,<100
2015,Bulgaria,15+,,,FEMALE,<100
2015,Bulgaria,15+,,,MALE,<100
2015,Bulgaria,ALLAGE,,,BOTHSEX,136
2016,Bulgaria,ALLAGE,,,BOTHSEX,168.4
2016,Bulgaria,15+,,,FEMALE,<100
2016,Bulgaria,15+,,,MALE,<100
2017,Bulgaria,15+,,,FEMALE,<100
2017,Bulgaria,ALLAGE,,,BOTHSEX,152.3
2017,Bulgaria,15+,,,MALE,<100
2018,Bulgaria,15+,,,FEMALE,<100
2018,Bulgaria,15+,,,MALE,<100
2018,Kazakhstan,15+,,,FEMALE,129.7
2018,Kazakhstan,15+,,,MALE,156.5
2019,Kazakhstan,15+,,,FEMALE,140.4
2019,Kazakhstan,15+,,,MALE,165.1
2019,Kazakhstan,ALLAGE,,,BOTHSEX,<100
2020,Kazakhstan,ALLAGE,,,BOTHSEX,<100
2020,Kazakhstan,15+,,,MALE,167.4
2020,Kazakhstan,15+,,,FEMALE,142.7
2015,Kyrgyzstan,15+,,,FEMALE,NaN
2018,Bulgaria,ALLAGE,,,BOTHSEX,131.9
2019,Bulgaria,15+,,,MALE,<100
2019,Bulgaria,ALLAGE,,,BOTHSEX,166.5
2019,Bulgaria,15+,,,FEMALE,<100
