Year,GeoAreaName,Age,Freq,Sex,Value
2020,Estonia,ALLAGE,,BOTHSEX,104.2
2015,Finland,15+,,MALE,190.3
2015,Finland,ALLAGE,,BOTHSEX,508.4
2015,Finland,15+,,FEMALE,241.4
2016,Finland,15+,,MALE,169.2
2016,Finland,ALLAGE,,BOTHSEX,463.3
2016,Finland,15+,,FEMALE,228.3
2017,Finland,ALLAGE,,BOTHSEX,458.8
2017,Finland,15+,,FEMALE,210.9
2017,Finland,15+,,MALE,180.5
2018,Finland,15+,,MALE,160.1
2018,Finland,ALLAGE,,BOTHSEX,427.6
2018,Finland,15+,,FEMALE,206
2019,Finland,15+,,MALE,168.7
2019,Finland,ALLAGE,,BOTHSEX,439.8
2019,Finland,15+,,FEMALE,215.5
2020,Finland,15+,,FEMALE,250.4
2020,Finland,15+,,MALE,166.4
2020,Finland,ALLAGE,,BOTHSEX,490
2015,France,15+,,MALE,1607.1
2015,France,ALLAGE,,BOTHSEX,4391.9
2015,France,15+,,FEMALE,1926.6
2016,France,ALLAGE,,BOTHSEX,4084.2
2016,France,15+,,MALE,1557.3
2016,France,15+,,FEMALE,1635.8
2017,France,15+,,FEMALE,1455
2017,France,15+,,MALE,1716
2017,France,ALLAGE,,BOTHSEX,4109.3
2018,France,ALLAGE,,BOTHSEX,3896.5
2018,France,15+,,MALE,1576
2018,France,15+,,FEMALE,1491.7
2019,France,15+,,MALE,1572.1
2019,France,ALLAGE,,BOTHSEX,3745.3
2019,France,15+,,FEMALE,1389.9
2020,France,ALLAGE,,BOTHSEX,3858.2
2020,France,15+,,FEMALE,1499.5
2020,France,15+,,MALE,1581.6
2015,Georgia,ALLAGE,,BOTHSEX,1281
2015,Georgia,15+,,FEMALE,570.4
2015,Georgia,15+,,MALE,456
2016,Georgia,15+,,FEMALE,611.5
2016,Georgia,ALLAGE,,BOTHSEX,1356.3
2016,Georgia,15+,,MALE,469.9
2017,Georgia,ALLAGE,,BOTHSEX,1422.9
2017,Georgia,15+,,FEMALE,614.2
2017,Georgia,15+,,MALE,505.7
2018,Georgia,15+,,MALE,524.8
2018,Georgia,15+,,FEMALE,672.2
2016,Lithuania,ALLAGE,,BOTHSEX,383.4
