Year,GeoAreaName,Disability status,Sex,Value
2011,Estonia,PWD,MALE,14.79
2012,Estonia,_T,MALE,11.46
2012,Estonia,PD,FEMALE,9.41
2012,Estonia,PD,BOTHSEX,13.43
2012,Estonia,PWD,FEMALE,8.99
2006,Luxembourg,_T,MALE,4.28
2006,Luxembourg,PD,MALE,15.35
2006,Luxembourg,_T,BOTHSEX,4.56
2006,Luxembourg,PWD,FEMALE,4.87
2006,Luxembourg,PD,FEMALE,7.22
2006,Luxembourg,PD,BOTHSEX,11.77
2006,Luxembourg,_T,FEMALE,4.96
2007,Luxembourg,PD,FEMALE,3.38
2007,Luxembourg,PD,BOTHSEX,10.83
2008,Sweden,PD,MALE,19.71
2008,Sweden,PWD,BOTHSEX,5.92
2008,Sweden,PD,BOTHSEX,20.2
2008,Sweden,_T,MALE,6.49
2008,Sweden,_T,FEMALE,6.13
2008,Sweden,PD,FEMALE,20.68
2009,Sweden,PD,BOTHSEX,20.31
2009,Sweden,PD,FEMALE,20.97
2009,Sweden,_T,MALE,9.17
2012,Estonia,_T,FEMALE,9
2012,Estonia,PWD,BOTHSEX,10.16
2012,Estonia,_T,BOTHSEX,10.23
2012,Estonia,PD,MALE,18.45
2012,Estonia,PWD,MALE,11.31
2013,Estonia,PWD,MALE,11.61
2013,Estonia,_T,MALE,11.64
2013,Estonia,PWD,BOTHSEX,9.95
2013,Estonia,PD,MALE,13.2
2007,Luxembourg,PWD,FEMALE,6.04
2007,Luxembourg,_T,BOTHSEX,4.75
2007,Luxembourg,PWD,BOTHSEX,4.5
2007,Luxembourg,_T,FEMALE,5.94
2007,Luxembourg,PD,MALE,15.69
2007,Luxembourg,_T,MALE,3.88
2007,Luxembourg,PWD,MALE,3.37
2008,Luxembourg,PD,MALE,24.58
2008,Luxembourg,_T,BOTHSEX,4.68
2008,Luxembourg,PD,BOTHSEX,18.75
2008,Luxembourg,PWD,MALE,3.89
2008,Luxembourg,_T,FEMALE,4.64
2008,Luxembourg,PWD,FEMALE,4.48
2008,Luxembourg,PD,FEMALE,9.25
2008,Luxembourg,_T,MALE,4.71
2008,Luxembourg,PWD,BOTHSEX,4.14
2009,Luxembourg,PWD,BOTHSEX,6.66
2009,Luxembourg,PD,BOTHSEX,29.12
2009,Sweden,_T,FEMALE,7.95
2009,Sweden,PWD,MALE,8.95
2009,Sweden,PWD,BOTHSEX,8.35
2009,Sweden,PWD,FEMALE,7.67
2009,Sweden,_T,BOTHSEX,8.6
2009,Sweden,PD,MALE,19.72
2010,Sweden,_T,FEMALE,7.79
2010,Sweden,PWD,FEMALE,7.52
2010,Sweden,PWD,MALE,7.6
2013,Estonia,PWD,FEMALE,8.29
2013,Estonia,_T,FEMALE,8.28
2013,Estonia,_T,BOTHSEX,9.96
2013,Estonia,PD,FEMALE,8.01
2013,Estonia,PD,BOTHSEX,10.24
2014,Estonia,PWD,FEMALE,5.84
2014,Estonia,PD,FEMALE,7.93
2014,Estonia,_T,FEMALE,5.89
2014,Estonia,_T,MALE,9.48
2010,Sweden,PD,MALE,24.47
2010,Sweden,PD,BOTHSEX,19.81
2010,Sweden,_T,MALE,7.98
2010,Sweden,_T,BOTHSEX,7.89
2010,Sweden,PD,FEMALE,16.09
2010,Sweden,PWD,BOTHSEX,7.56
2011,Sweden,PD,MALE,24.25
2011,Sweden,_T,BOTHSEX,7.74
2011,Sweden,PWD,MALE,7.55
2009,Luxembourg,PWD,MALE,5.08
