Year,GeoAreaName,Migratory status,Sex,Value
2020,Cyprus,_T,BOTHSEX,3.81
2020,Cyprus,MIGPER,BOTHSEX,1.44
2012,Poland,_T,FEMALE,0.32
2013,Poland,_T,MALE,3.17
2013,Poland,NONMIG,FEMALE,0.22
2013,Poland,_T,BOTHSEX,1.83
2013,Poland,_T,FEMALE,0.22
2013,Poland,NONMIG,BOTHSEX,1.68
2013,Poland,NONMIG,MALE,2.88
2020,Cyprus,NONMIG,BOTHSEX,1.97
2000,Czechia,_T,FEMALE,0.3
2000,Czechia,_T,MALE,9.0
2000,Czechia,_T,BOTHSEX,4.9
2001,Czechia,_T,BOTHSEX,5.2
2001,Czechia,_T,FEMALE,0.4
2001,Czechia,_T,MALE,9.4
2002,Czechia,_T,BOTHSEX,4.6
2002,Czechia,_T,FEMALE,0.4
2002,Czechia,_T,MALE,8.3
2003,Czechia,_T,BOTHSEX,4.5
2003,Czechia,_T,MALE,8.0
2003,Czechia,_T,FEMALE,0.5
2004,Czechia,_T,MALE,7.6
2004,Czechia,_T,BOTHSEX,4.2
2004,Czechia,_T,FEMALE,0.4
2014,Poland,NONMIG,MALE,2.78
2014,Poland,_T,FEMALE,0.19
2014,Poland,NONMIG,BOTHSEX,1.61
2014,Poland,_T,BOTHSEX,1.75
2014,Poland,NONMIG,FEMALE,0.19
2014,Poland,_T,MALE,3.04
2015,Poland,_T,BOTHSEX,1.9
2015,Poland,_T,MALE,3.25
2015,Poland,NONMIG,FEMALE,0.24
2015,Poland,NONMIG,BOTHSEX,1.71
2015,Poland,_T,FEMALE,0.24
2015,Poland,NONMIG,MALE,2.91
2016,Poland,_T,BOTHSEX,1.54
2017,Poland,_T,BOTHSEX,2.0
2005,Czechia,_T,MALE,6.4
2005,Czechia,_T,BOTHSEX,3.7
2005,Czechia,_T,FEMALE,0.6
2006,Czechia,_T,FEMALE,0.2
2006,Czechia,_T,MALE,6.2
2006,Czechia,_T,BOTHSEX,3.4
2007,Czechia,_T,FEMALE,0.5
2007,Czechia,_T,MALE,7.3
2018,Poland,_T,BOTHSEX,1.56
2019,Poland,_T,BOTHSEX,1.1
