Year,GeoAreaName,Education level,Sex,Type of skill,Value
2009,Luxembourg,LOWSEC,MALE,SKILL_MATH,77.81
2009,Luxembourg,LOWSEC,BOTHSEX,SKILL_MATH,76.07777
2012,Luxembourg,LOWSEC,FEMALE,SKILL_MATH,71.29
2012,Luxembourg,LOWSEC,BOTHSEX,SKILL_MATH,75.66862
2012,Luxembourg,LOWSEC,MALE,SKILL_MATH,79.92
2018,Cyprus,LOWSEC,FEMALE,SKILL_READ,67.25756
2019,Cyprus,PRIMAR,BOTHSEX,SKILL_MATH,76.9192
2019,Cyprus,PRIMAR,FEMALE,SKILL_MATH,73.74552
2019,Cyprus,PRIMAR,MALE,SKILL_MATH,80.39186
2000,Czechia,LOWSEC,MALE,SKILL_READ,76.44
2000,Czechia,LOWSEC,BOTHSEX,SKILL_MATH,76.87635
2000,Czechia,LOWSEC,MALE,SKILL_MATH,77.04
2012,Luxembourg,LOWSEC,MALE,SKILL_READ,73.38
2012,Luxembourg,LOWSEC,FEMALE,SKILL_READ,82.42
2012,Luxembourg,LOWSEC,BOTHSEX,SKILL_READ,77.83019
2015,Luxembourg,LOWSEC,BOTHSEX,SKILL_MATH,74.18055
2015,Luxembourg,LOWSEC,MALE,SKILL_MATH,75.09964
2015,Luxembourg,LOWSEC,MALE,SKILL_READ,70.68004
2015,Luxembourg,LOWSEC,FEMALE,SKILL_MATH,73.27398
2019,Albania,PRIMAR,FEMALE,SKILL_MATH,60.54636
2019,Albania,PRIMAR,MALE,SKILL_MATH,62.88525
2019,Albania,PRIMAR,BOTHSEX,SKILL_MATH,61.75176
2006,Azerbaijan,LOWSEC,BOTHSEX,SKILL_READ,20.58498
2006,Azerbaijan,LOWSEC,MALE,SKILL_READ,16.64
2006,Azerbaijan,LOWSEC,BOTHSEX,SKILL_MATH,89.4645
2006,Azerbaijan,LOWSEC,MALE,SKILL_MATH,89.15
2000,Czechia,LOWSEC,FEMALE,SKILL_MATH,77.0
2000,Czechia,LOWSEC,BOTHSEX,SKILL_READ,82.5
2000,Czechia,LOWSEC,FEMALE,SKILL_READ,88.48
2001,Czechia,PRIMAR,MALE,SKILL_READ,96.57943
2001,Czechia,PRIMAR,BOTHSEX,SKILL_READ,97.27002
2001,Czechia,PRIMAR,FEMALE,SKILL_READ,97.99281
2003,Czechia,LOWSEC,FEMALE,SKILL_MATH,81.95
2015,Luxembourg,LOWSEC,BOTHSEX,SKILL_READ,74.35827
2015,Luxembourg,LOWSEC,FEMALE,SKILL_READ,77.98638
2018,Luxembourg,LOWSEC,BOTHSEX,SKILL_READ,70.70858
2018,Luxembourg,LOWSEC,FEMALE,SKILL_MATH,71.83455
2018,Luxembourg,LOWSEC,MALE,SKILL_READ,65.73183
2018,Luxembourg,LOWSEC,MALE,SKILL_MATH,73.70429
2018,Luxembourg,LOWSEC,BOTHSEX,SKILL_MATH,72.78241
2018,Luxembourg,LOWSEC,FEMALE,SKILL_READ,75.82555
2009,Malta,LOWSEC,FEMALE,SKILL_READ,75.65
2009,Malta,LOWSEC,BOTHSEX,SKILL_READ,63.68741
2009,Malta,LOWSEC,MALE,SKILL_READ,51.55
2011,Malta,PRIMAR,BOTHSEX,SKILL_MATH,63.12836
2011,Malta,PRIMAR,MALE,SKILL_READ,75.36774
2011,Malta,PRIMAR,FEMALE,SKILL_READ,81.63849
2003,Czechia,LOWSEC,MALE,SKILL_MATH,84.88
2003,Czechia,LOWSEC,MALE,SKILL_READ,76.47
2003,Czechia,LOWSEC,BOTHSEX,SKILL_MATH,83.43299
2003,Czechia,LOWSEC,FEMALE,SKILL_READ,85.02
2003,Czechia,LOWSEC,BOTHSEX,SKILL_READ,80.68714
2006,Czechia,LOWSEC,MALE,SKILL_MATH,82.41
2006,Czechia,LOWSEC,FEMALE,SKILL_MATH,78.8
2006,Czechia,LOWSEC,BOTHSEX,SKILL_READ,75.22457
2006,Czechia,LOWSEC,FEMALE,SKILL_READ,83.1
2006,Czechia,LOWSEC,BOTHSEX,SKILL_MATH,80.839
2006,Czechia,LOWSEC,MALE,SKILL_READ,69.18
2007,Czechia,PRIMAR,FEMALE,SKILL_MATH,57.3394
2007,Czechia,PRIMAR,MALE,SKILL_MATH,59.73452
2007,Czechia,PRIMAR,BOTHSEX,SKILL_MATH,58.56877
2006,Azerbaijan,LOWSEC,FEMALE,SKILL_READ,24.88
2006,Azerbaijan,LOWSEC,FEMALE,SKILL_MATH,89.81
2009,Azerbaijan,LOWSEC,FEMALE,SKILL_MATH,51.39
2009,Azerbaijan,LOWSEC,FEMALE,SKILL_READ,32.16
2009,Azerbaijan,LOWSEC,MALE,SKILL_MATH,57.9
2009,Azerbaijan,LOWSEC,BOTHSEX,SKILL_MATH,54.72519
2009,Azerbaijan,LOWSEC,MALE,SKILL_READ,22.49
2009,Czechia,LOWSEC,MALE,SKILL_MATH,78.36
2009,Czechia,LOWSEC,BOTHSEX,SKILL_READ,76.94532
2009,Czechia,LOWSEC,FEMALE,SKILL_MATH,76.88
2009,Czechia,LOWSEC,FEMALE,SKILL_READ,85.72
2009,Czechia,LOWSEC,MALE,SKILL_READ,69.23
