Year,GeoAreaName,Age,Location,Sex,Value
2005,Turkmenistan,15+,,MALE,19.1
2005,Turkmenistan,15+,,FEMALE,0.6
2010,Turkmenistan,15+,,MALE,15.8
2010,Turkmenistan,15+,,FEMALE,0.6
2005,Belgium,15+,,FEMALE,25.9
2005,Belgium,15+,,BOTHSEX,30.5
2010,Belgium,15+,,BOTHSEX,28.0
2010,Belgium,15+,,MALE,31.8
2010,Belgium,15+,,FEMALE,24.1
2015,Belgium,15+,,MALE,28.8
2015,Belgium,15+,,FEMALE,22.5
2015,Belgium,15+,,BOTHSEX,25.7
2018,Belgium,15+,,BOTHSEX,23.9
2018,Belgium,15+,,MALE,27.1
2018,Belgium,15+,,FEMALE,21.6
2019,Belgium,15+,,BOTHSEX,23.9
2019,Belgium,15+,,FEMALE,21.4
2019,Belgium,15+,,MALE,26.3
2020,Belgium,15+,,FEMALE,21.0
2020,Belgium,15+,,BOTHSEX,23.4
2010,Turkmenistan,15+,,BOTHSEX,8.2
2015,Turkmenistan,15+,,BOTHSEX,6.7
2015,Turkmenistan,15+,,MALE,12.9
2015,Turkmenistan,15+,,FEMALE,0.5
2018,Turkmenistan,15+,,BOTHSEX,5.8
2018,Turkmenistan,15+,,MALE,11.5
2018,Turkmenistan,15+,,FEMALE,0.5
2019,Turkmenistan,15+,,FEMALE,0.5
2020,Belgium,15+,,MALE,25.8
2000,Bosnia and Herzegovina,15+,,MALE,58.2
2000,Bosnia and Herzegovina,15+,,FEMALE,35.0
2000,Bosnia and Herzegovina,15+,,BOTHSEX,46.6
2005,Bosnia and Herzegovina,15+,,BOTHSEX,43.4
2005,Bosnia and Herzegovina,15+,,MALE,53.5
2005,Bosnia and Herzegovina,15+,,FEMALE,33.2
2010,Bosnia and Herzegovina,15+,,MALE,49.3
2019,Turkmenistan,15+,,MALE,11.1
2019,Turkmenistan,15+,,BOTHSEX,5.8
2020,Turkmenistan,15+,,BOTHSEX,5.5
2020,Turkmenistan,15+,,FEMALE,0.4
2020,Turkmenistan,15+,,MALE,10.6
2000,Ukraine,15+,,MALE,61.3
2000,Ukraine,15+,,FEMALE,14.1
2000,Ukraine,15+,,BOTHSEX,37.7
2010,Bosnia and Herzegovina,15+,,FEMALE,31.2
2010,Bosnia and Herzegovina,15+,,BOTHSEX,40.3
2015,Bosnia and Herzegovina,15+,,MALE,45.6
2015,Bosnia and Herzegovina,15+,,FEMALE,29.8
2015,Bosnia and Herzegovina,15+,,BOTHSEX,37.7
2018,Bosnia and Herzegovina,15+,,FEMALE,28.8
2018,Bosnia and Herzegovina,15+,,BOTHSEX,35.5
2018,Bosnia and Herzegovina,15+,,MALE,43.2
2019,Bosnia and Herzegovina,15+,,BOTHSEX,35.5
2019,Bosnia and Herzegovina,15+,,FEMALE,28.3
2019,Bosnia and Herzegovina,15+,,MALE,42.6
2020,Bosnia and Herzegovina,15+,,MALE,42.0
2020,Bosnia and Herzegovina,15+,,FEMALE,28.0
2020,Bosnia and Herzegovina,15+,,BOTHSEX,35.0
2000,Bulgaria,15+,,MALE,59.2
2000,Bulgaria,15+,,FEMALE,35.8
2005,Ukraine,15+,,MALE,55.2
2005,Ukraine,15+,,FEMALE,13.4
2005,Ukraine,15+,,BOTHSEX,34.3
2010,Ukraine,15+,,BOTHSEX,31.1
2010,Ukraine,15+,,MALE,49.4
2010,Ukraine,15+,,FEMALE,12.7
2015,Ukraine,15+,,MALE,44.6
2015,Ukraine,15+,,FEMALE,12.1
2015,Ukraine,15+,,BOTHSEX,28.4
2018,Ukraine,15+,,BOTHSEX,26.2
2018,Ukraine,15+,,MALE,41.7
2018,Ukraine,15+,,FEMALE,11.7
2019,Ukraine,15+,,FEMALE,11.6
2019,Ukraine,15+,,BOTHSEX,26.2
2019,Ukraine,15+,,MALE,40.7
2020,Ukraine,15+,,FEMALE,11.5
2000,Bulgaria,15+,,BOTHSEX,47.5
2005,Bulgaria,15+,,FEMALE,36.1
2005,Bulgaria,15+,,BOTHSEX,45.0
2005,Bulgaria,15+,,MALE,53.9
2010,Bulgaria,15+,,MALE,49.2
2010,Bulgaria,15+,,FEMALE,36.5
2010,Bulgaria,15+,,BOTHSEX,42.9
2015,Bulgaria,15+,,MALE,44.7
2015,Bulgaria,15+,,FEMALE,36.7
2015,Bulgaria,15+,,BOTHSEX,40.7
2018,Bulgaria,15+,,BOTHSEX,39.4
2018,Bulgaria,15+,,MALE,42.4
2018,Bulgaria,15+,,FEMALE,37.0
2019,Bulgaria,15+,,BOTHSEX,39.4
2019,Bulgaria,15+,,FEMALE,37.1
2019,Bulgaria,15+,,MALE,41.7
2020,Ukraine,15+,,MALE,40.0
2020,Ukraine,15+,,BOTHSEX,25.8
2000,Uzbekistan,15+,,MALE,48.4
2000,Uzbekistan,15+,,FEMALE,1.4
2000,Uzbekistan,15+,,BOTHSEX,24.9
2005,Uzbekistan,15+,,MALE,44.1
2005,Uzbekistan,15+,,BOTHSEX,22.7
2005,Uzbekistan,15+,,FEMALE,1.3
2010,Uzbekistan,15+,,MALE,40.5
2010,Uzbekistan,15+,,FEMALE,1.3
2010,Uzbekistan,15+,,BOTHSEX,20.9
2015,Uzbekistan,15+,,MALE,37.0
2015,Uzbekistan,15+,,FEMALE,1.2
2015,Uzbekistan,15+,,BOTHSEX,19.1
2018,Uzbekistan,15+,,BOTHSEX,17.8
2018,Uzbekistan,15+,,FEMALE,1.1
2020,Bulgaria,15+,,MALE,40.9
2020,Bulgaria,15+,,FEMALE,37.1
2020,Bulgaria,15+,,BOTHSEX,39.0
2000,Belarus,15+,,BOTHSEX,41.8
2000,Belarus,15+,,MALE,68.0
2000,Belarus,15+,,FEMALE,15.6
2005,Belarus,15+,,MALE,62.5
2005,Belarus,15+,,FEMALE,15.1
2010,France,15+,,MALE,36.7
2010,France,15+,,FEMALE,30.9
2010,France,15+,,BOTHSEX,33.8
2015,France,15+,,MALE,35.9
2015,France,15+,,FEMALE,31.4
2015,France,15+,,BOTHSEX,33.7
2018,France,15+,,FEMALE,31.7
2018,France,15+,,BOTHSEX,33.6
2005,Belarus,15+,,BOTHSEX,38.8
2010,Belarus,15+,,MALE,57.0
2010,Belarus,15+,,FEMALE,14.6
2010,Belarus,15+,,BOTHSEX,35.8
2015,Belarus,15+,,MALE,51.9
2015,Belarus,15+,,FEMALE,14.0
2015,Belarus,15+,,BOTHSEX,33.0
2018,Belarus,15+,,MALE,49.3
2018,Belarus,15+,,FEMALE,13.7
2018,Belarus,15+,,BOTHSEX,30.9
2019,Belarus,15+,,BOTHSEX,30.9
2019,Belarus,15+,,FEMALE,13.6
2019,Belarus,15+,,MALE,48.2
2020,Belarus,15+,,MALE,47.4
2020,Belarus,15+,,FEMALE,13.5
2020,Belarus,15+,,BOTHSEX,30.5
2018,France,15+,,MALE,35.3
2019,France,15+,,BOTHSEX,33.6
2019,France,15+,,FEMALE,31.9
2019,France,15+,,MALE,35.2
2020,France,15+,,MALE,34.9
2020,France,15+,,FEMALE,31.9
2020,France,15+,,BOTHSEX,33.4
2000,Georgia,15+,,MALE,60.2
2000,Georgia,15+,,FEMALE,5.4
2000,Georgia,15+,,BOTHSEX,32.8
2005,Georgia,15+,,FEMALE,5.8
2005,Georgia,15+,,BOTHSEX,32.6
2005,Georgia,15+,,MALE,59.3
2010,Georgia,15+,,MALE,58.1
2010,Georgia,15+,,FEMALE,6.2
2010,Georgia,15+,,BOTHSEX,32.2
2000,Croatia,15+,,MALE,41.7
2000,Croatia,15+,,FEMALE,27.1
2000,Croatia,15+,,BOTHSEX,34.4
2005,Croatia,15+,,MALE,40.5
2005,Croatia,15+,,FEMALE,29.2
2005,Croatia,15+,,BOTHSEX,34.9
2010,Croatia,15+,,MALE,39.5
2010,Croatia,15+,,FEMALE,31.3
2010,Croatia,15+,,BOTHSEX,35.4
2015,Croatia,15+,,MALE,38.5
2015,Croatia,15+,,FEMALE,33.7
2015,Croatia,15+,,BOTHSEX,36.1
2018,Croatia,15+,,MALE,38.0
2018,Croatia,15+,,BOTHSEX,36.7
2018,Croatia,15+,,FEMALE,34.9
2019,Croatia,15+,,MALE,37.8
2019,Croatia,15+,,BOTHSEX,36.7
2019,Croatia,15+,,FEMALE,35.6
2020,Croatia,15+,,MALE,37.6
2020,Croatia,15+,,FEMALE,36.1
2020,Croatia,15+,,BOTHSEX,36.9
2000,Cyprus,15+,,MALE,60.6
2000,Cyprus,15+,,FEMALE,21.1
2000,Cyprus,15+,,BOTHSEX,40.9
2015,Georgia,15+,,BOTHSEX,32.0
2015,Georgia,15+,,FEMALE,6.6
2015,Georgia,15+,,MALE,57.3
2018,Georgia,15+,,MALE,56.7
2018,Georgia,15+,,FEMALE,6.9
2018,Georgia,15+,,BOTHSEX,31.7
