Year,GeoAreaName,Counterpart,Value
2017,Norway,PK,5.97292
2018,Norway,PL,1.34643
2018,Norway,PK,6.70189
2019,Norway,PL,0.52678
2019,Norway,PK,4.16302
2020,Norway,PL,1.30789
2020,Norway,PK,2.83278
2021,Norway,PL,1.55667
2021,Norway,PK,3.85
2016,Portugal,MZ,7.72999
2016,Portugal,CV,7.80762
2016,Portugal,BR,5.39613
2017,Portugal,BR,4.52709
2018,Portugal,BR,3.28362
2018,Portugal,CV,7.07823
2019,Portugal,BR,4.73083
2019,Portugal,CV,7.4943
2020,Portugal,CV,7.07596
2020,Portugal,BR,4.50737
2021,Portugal,CV,6.82
2021,Portugal,BR,4.22333
2021,Portugal,BR,4.22333
