Year,GeoAreaName,Activity,Level of requirement,Value
2017,Slovenia,ISIC4_G,TOTAL,1
2017,Slovenia,ISIC4_C,TOTAL,1
2021,Finland,ISIC4_N,TOTAL,1
2021,Finland,ISIC4_Q,TOTAL,2
2016,France,ISIC4_C,TOTAL,29
2016,France,TOTAL,TOTAL,81
2016,France,ISIC4_M,TOTAL,11
2016,France,ISIC4_N,TOTAL,1
2016,France,ISIC4_K,TOTAL,8
2016,France,ISIC4_J,TOTAL,9
2016,France,ISIC4_G,TOTAL,81
2016,France,ISIC4_Q,TOTAL,1
2016,France,ISIC4_F,TOTAL,3
2016,France,ISIC4_L,TOTAL,4
2016,France,ISIC4_H,TOTAL,2
2016,France,ISIC4_I,TOTAL,3
2016,France,ISIC4_B,TOTAL,3
2017,France,ISIC4_M,TOTAL,14
2017,France,ISIC4_N,TOTAL,2
2017,France,ISIC4_L,TOTAL,4
2017,France,ISIC4_F,TOTAL,3
2017,France,ISIC4_Q,TOTAL,1
2017,France,ISIC4_S,TOTAL,1
2017,France,TOTAL,TOTAL,89
2017,Slovenia,TOTAL,TOTAL,1
2018,Slovenia,ISIC4_G,TOTAL,1
2018,Slovenia,ISIC4_C,TOTAL,1
2018,Slovenia,TOTAL,TOTAL,1
2019,Slovenia,ISIC4_C,TOTAL,1
2019,Slovenia,TOTAL,TOTAL,1
2019,Slovenia,ISIC4_G,TOTAL,1
2020,Slovenia,ISIC4_C,TOTAL,1
2020,Slovenia,TOTAL,TOTAL,1
2020,Slovenia,ISIC4_G,TOTAL,1
2021,Slovenia,ISIC4_G,TOTAL,3
2017,France,ISIC4_B,TOTAL,4
2017,France,ISIC4_I,TOTAL,3
2017,France,ISIC4_C,TOTAL,29
2017,France,ISIC4_H,TOTAL,2
2017,France,ISIC4_G,TOTAL,89
2017,France,ISIC4_K,TOTAL,9
2017,France,ISIC4_J,TOTAL,9
2018,France,ISIC4_B,TOTAL,4
2018,France,ISIC4_J,TOTAL,9
2018,France,ISIC4_M,TOTAL,16
2018,France,ISIC4_I,TOTAL,3
2021,Slovenia,TOTAL,TOTAL,3
2021,Slovenia,ISIC4_K,TOTAL,1
2021,Slovenia,ISIC4_J,TOTAL,1
2021,Slovenia,ISIC4_C,TOTAL,1
2016,Spain,ISIC4_I,TOTAL,1
2016,Spain,ISIC4_B,TOTAL,1
2016,Spain,ISIC4_F,TOTAL,5
2016,Spain,ISIC4_C,TOTAL,6
2016,Spain,ISIC4_K,TOTAL,7
2016,Spain,TOTAL,TOTAL,36
2016,Spain,ISIC4_J,TOTAL,4
2018,France,ISIC4_A,TOTAL,1
2018,France,ISIC4_K,TOTAL,11
2018,France,ISIC4_G,TOTAL,118
2018,France,TOTAL,TOTAL,118
2018,France,ISIC4_S,TOTAL,1
2018,France,ISIC4_N,TOTAL,5
2018,France,ISIC4_Q,TOTAL,2
2018,France,ISIC4_C,TOTAL,43
2018,France,ISIC4_L,TOTAL,5
2018,France,ISIC4_F,TOTAL,5
2018,France,ISIC4_H,TOTAL,3
2019,France,ISIC4_B,TOTAL,4
2019,France,ISIC4_H,TOTAL,3
2019,France,ISIC4_L,TOTAL,6
2019,France,ISIC4_F,TOTAL,5
2019,France,ISIC4_A,TOTAL,1
2019,France,ISIC4_S,TOTAL,1
2019,France,ISIC4_J,TOTAL,9
2019,France,ISIC4_M,TOTAL,16
2019,France,ISIC4_C,TOTAL,46
2019,France,ISIC4_N,TOTAL,5
2019,France,TOTAL,TOTAL,123
2016,Spain,ISIC4_G,TOTAL,36
2016,Spain,ISIC4_M,TOTAL,1
2016,Spain,ISIC4_L,TOTAL,2
2016,Spain,ISIC4_N,TOTAL,2
2017,Spain,ISIC4_I,TOTAL,1
2017,Spain,ISIC4_L,TOTAL,2
2017,Spain,ISIC4_J,TOTAL,4
2017,Spain,ISIC4_B,TOTAL,1
2017,Spain,ISIC4_F,TOTAL,5
2017,Spain,ISIC4_K,TOTAL,8
2017,Spain,ISIC4_M,TOTAL,2
2019,France,ISIC4_G,TOTAL,123
2019,France,ISIC4_K,TOTAL,12
2019,France,ISIC4_I,TOTAL,3
2019,France,ISIC4_Q,TOTAL,2
2020,France,ISIC4_F,TOTAL,5
2020,France,ISIC4_N,TOTAL,5
2020,France,ISIC4_A,TOTAL,1
2020,France,ISIC4_G,TOTAL,138
2020,France,ISIC4_S,TOTAL,1
2020,France,ISIC4_I,TOTAL,3
2020,France,ISIC4_M,TOTAL,17
2017,Spain,ISIC4_C,TOTAL,9
2017,Spain,TOTAL,TOTAL,41
2017,Spain,ISIC4_N,TOTAL,2
2017,Spain,ISIC4_G,TOTAL,41
2018,Spain,ISIC4_I,TOTAL,2
2018,Spain,ISIC4_L,TOTAL,3
2018,Spain,ISIC4_G,TOTAL,56
2018,Spain,ISIC4_C,TOTAL,14
2018,Spain,ISIC4_N,TOTAL,3
2018,Spain,ISIC4_K,TOTAL,9
2018,Spain,ISIC4_J,TOTAL,4
2020,France,ISIC4_L,TOTAL,8
2020,France,TOTAL,TOTAL,138
2020,France,ISIC4_Q,TOTAL,2
2020,France,ISIC4_K,TOTAL,12
2020,France,ISIC4_J,TOTAL,10
2020,France,ISIC4_B,TOTAL,4
2020,France,ISIC4_H,TOTAL,4
2020,France,ISIC4_C,TOTAL,53
2021,France,ISIC4_H,TOTAL,4
2021,France,ISIC4_Q,TOTAL,2
2021,France,TOTAL,TOTAL,150
2018,Spain,TOTAL,TOTAL,56
2018,Spain,ISIC4_B,TOTAL,1
2018,Spain,ISIC4_F,TOTAL,9
2018,Spain,ISIC4_M,TOTAL,4
2019,Spain,ISIC4_K,TOTAL,9
2019,Spain,ISIC4_G,TOTAL,57
2019,Spain,ISIC4_I,TOTAL,2
2019,Spain,TOTAL,TOTAL,57
2019,Spain,ISIC4_N,TOTAL,4
2019,Spain,ISIC4_J,TOTAL,4
2019,Spain,ISIC4_L,TOTAL,3
2021,France,ISIC4_M,TOTAL,17
2021,France,ISIC4_N,TOTAL,4
2021,France,ISIC4_F,TOTAL,5
2021,France,ISIC4_A,TOTAL,1
2021,France,ISIC4_L,TOTAL,11
2021,France,ISIC4_J,TOTAL,12
2021,France,ISIC4_C,TOTAL,58
2021,France,ISIC4_G,TOTAL,150
2021,France,ISIC4_K,TOTAL,13
2021,France,ISIC4_I,TOTAL,3
2021,France,ISIC4_B,TOTAL,5
2019,Spain,ISIC4_B,TOTAL,1
2019,Spain,ISIC4_M,TOTAL,4
2019,Spain,ISIC4_C,TOTAL,13
2019,Spain,ISIC4_F,TOTAL,10
2020,Spain,ISIC4_B,TOTAL,1
2020,Spain,ISIC4_K,TOTAL,9
2020,Spain,ISIC4_N,TOTAL,4
2020,Spain,ISIC4_J,TOTAL,4
2020,Spain,ISIC4_G,TOTAL,61
2020,Spain,TOTAL,TOTAL,61
2020,Spain,ISIC4_M,TOTAL,4
2021,France,ISIC4_S,TOTAL,1
2018,Georgia,ISIC4_G,TOTAL,1
2018,Georgia,ISIC4_K,TOTAL,1
2018,Georgia,TOTAL,TOTAL,1
2019,Georgia,TOTAL,TOTAL,1
2019,Georgia,ISIC4_K,TOTAL,1
2019,Georgia,ISIC4_G,TOTAL,1
2020,Georgia,ISIC4_G,TOTAL,1
2020,Georgia,TOTAL,TOTAL,1
2020,Georgia,ISIC4_K,TOTAL,1
2021,Georgia,TOTAL,TOTAL,1
2020,Spain,ISIC4_I,TOTAL,2
2020,Spain,ISIC4_F,TOTAL,10
2020,Spain,ISIC4_C,TOTAL,16
2020,Spain,ISIC4_L,TOTAL,3
2021,Spain,ISIC4_I,TOTAL,2
2021,Spain,ISIC4_B,TOTAL,1
2021,Spain,ISIC4_F,TOTAL,11
2021,Spain,TOTAL,TOTAL,63
2021,Spain,ISIC4_L,TOTAL,3
2021,Spain,ISIC4_G,TOTAL,63
2021,Spain,ISIC4_K,TOTAL,9
2021,Georgia,ISIC4_G,TOTAL,1
2021,Georgia,ISIC4_K,TOTAL,1
2016,Germany,ISIC4_K,TOTAL,7
2016,Germany,ISIC4_H,TOTAL,3
2016,Germany,ISIC4_B,TOTAL,1
2016,Germany,ISIC4_C,TOTAL,27
2016,Germany,ISIC4_L,TOTAL,2
2016,Germany,ISIC4_N,TOTAL,1
2016,Germany,TOTAL,TOTAL,59
2016,Germany,ISIC4_J,TOTAL,5
2016,Germany,ISIC4_F,TOTAL,1
2021,Spain,ISIC4_J,TOTAL,4
2021,Spain,ISIC4_M,TOTAL,4
2021,Spain,ISIC4_C,TOTAL,16
2021,Spain,ISIC4_N,TOTAL,4
2016,Sweden,ISIC4_H,TOTAL,1
2016,Sweden,ISIC4_C,TOTAL,23
2016,Sweden,ISIC4_F,TOTAL,3
2016,Sweden,ISIC4_K,TOTAL,5
2016,Sweden,TOTAL,TOTAL,46
2016,Sweden,ISIC4_G,TOTAL,46
