Year,GeoAreaName,Type of waste treatment,Value
2017,Austria,INCINRT_EGY,1944000.0
2018,Austria,INCINRT,0.0
2018,Austria,INCINRT_EGY,1977000.0
2019,Austria,INCINRT_EGY,2004000.0
2019,Austria,INCINRT,0.0
2020,Austria,INCINRT,7000.0
2020,Austria,INCINRT_EGY,2669000.0
2000,Armenia,LANDFIL,208100.006
2013,Serbia,LANDFILCTL,1920000.0
2014,Serbia,COMPOST,0.0
2014,Serbia,INCINRT,0.0
2014,Serbia,OTHERWM,1685000.0
2014,Serbia,LANDFIL,1670000.0
2014,Serbia,LANDFILCTL,1670000.0
2014,Serbia,INCINRT_EGY,0.0
2015,Serbia,INCINRT,0.0
2015,Serbia,LANDFIL,1360000.0
2015,Serbia,INCINRT_EGY,0.0
2015,Serbia,LANDFILCTL,1360000.0
2015,Serbia,OTHERWM,1374000.0
2015,Serbia,COMPOST,0.0
2016,Denmark,INCINRT_EGY,2402000.0
2017,Denmark,INCINRT_EGY,2429000.0
2017,Denmark,INCINRT,0.0
2018,Denmark,INCINRT_EGY,2302000.0
2018,Denmark,INCINRT,0.0
2019,Denmark,INCINRT_EGY,2333000.0
2019,Denmark,INCINRT,0.0
2020,Denmark,INCINRT,0.0
2020,Denmark,INCINRT_EGY,2536000.0
2021,Denmark,INCINRT,0.0
2021,Denmark,INCINRT_EGY,3157000.0
2000,Estonia,INCINRT_EGY,0.0
2000,Estonia,INCINRT,0.0
2000,Armenia,LANDFILCTL,208100.006
2000,Armenia,OTHERWM,208100.006
2001,Armenia,LANDFIL,233600.006
2001,Armenia,LANDFILCTL,233600.006
2001,Armenia,OTHERWM,233600.006
2002,Armenia,LANDFILCTL,284399.994
2002,Armenia,LANDFIL,284399.994
2002,Armenia,OTHERWM,284399.994
2003,Armenia,LANDFILCTL,368600.006
2003,Armenia,LANDFIL,368600.006
2003,Armenia,OTHERWM,368600.006
2004,Armenia,OTHERWM,377000.0
2001,Estonia,INCINRT_EGY,0.0
2001,Estonia,INCINRT,0.0
2002,Estonia,INCINRT,0.0
2002,Estonia,INCINRT_EGY,0.0
2003,Estonia,INCINRT_EGY,0.0
2003,Estonia,INCINRT,0.0
2004,Estonia,INCINRT,0.0
2004,Estonia,INCINRT_EGY,0.0
2005,Estonia,INCINRT,0.0
