Year,GeoAreaName,Age,Freq,Location,Sex,Type of speed,Value
2014,Cyprus,,,,,2MT10MBPS,203718.0
2014,Cyprus,,,,,10MBPS,39764.0
2014,Cyprus,,,,,256KT2MBPS,129.0
2015,Cyprus,,,,,ANYS,260640.0
2019,Latvia,,,,,10MBPS,415267.0
2019,Latvia,,,,,2MT10MBPS,89697.0
2019,Latvia,,,,,256KT2MBPS,3960.0
2020,Latvia,,,,,ANYS,490569.0
2020,Latvia,,,,,10MBPS,407703.0
2020,Latvia,,,,,2MT10MBPS,79127.0
2020,Latvia,,,,,256KT2MBPS,3739.0
2021,Latvia,,,,,ANYS,489818.0
2021,Latvia,,,,,10MBPS,415200.0
2021,Latvia,,,,,2MT10MBPS,71059.0
2021,Latvia,,,,,256KT2MBPS,3559.0
2002,Liechtenstein,,,,,ANYS,1437.0
2015,Cyprus,,,,,2MT10MBPS,147565.0
2015,Cyprus,,,,,10MBPS,112955.0
2015,Cyprus,,,,,256KT2MBPS,120.0
2016,Cyprus,,,,,ANYS,278483.0
2016,Cyprus,,,,,2MT10MBPS,161797.0
2016,Cyprus,,,,,10MBPS,116548.0
2016,Cyprus,,,,,256KT2MBPS,138.0
2017,Cyprus,,,,,ANYS,295686.0
2017,Cyprus,,,,,256KT2MBPS,86.0
2017,Cyprus,,,,,2MT10MBPS,122981.0
2017,Cyprus,,,,,10MBPS,172619.0
2003,Liechtenstein,,,,,ANYS,1500.0
2004,Liechtenstein,,,,,ANYS,4741.0
2005,Liechtenstein,,,,,ANYS,8617.0
2006,Liechtenstein,,,,,ANYS,10000.0
2007,Liechtenstein,,,,,ANYS,14200.0
2008,Liechtenstein,,,,,ANYS,15550.0
2009,Liechtenstein,,,,,ANYS,15983.0
2010,Liechtenstein,,,,,ANYS,15250.0
2011,Liechtenstein,,,,,ANYS,13595.0
2012,Liechtenstein,,,,,ANYS,14416.0
2013,Liechtenstein,,,,,ANYS,15016.0
2020,Slovenia,,,,,10MBPS,602847.0
2020,Slovenia,,,,,256KT2MBPS,2269.0
2020,Slovenia,,,,,ANYS,651603.0
2021,Slovenia,,,,,2MT10MBPS,34346.0
2021,Slovenia,,,,,256KT2MBPS,1140.0
2021,Slovenia,,,,,ANYS,671498.0
2021,Slovenia,,,,,10MBPS,636012.0
2000,Spain,,,,,ANYS,76358.0
2001,Spain,,,,,ANYS,466600.0
2002,Spain,,,,,ANYS,1247496.0
2003,Spain,,,,,ANYS,2121930.0
2018,Cyprus,,,,,10MBPS,227747.0
2018,Cyprus,,,,,2MT10MBPS,85673.0
2018,Cyprus,,,,,256KT2MBPS,42.0
2018,Cyprus,,,,,ANYS,313667.0
2019,Cyprus,,,,,ANYS,326565.0
2019,Cyprus,,,,,10MBPS,241593.0
2019,Cyprus,,,,,2MT10MBPS,84802.0
2019,Cyprus,,,,,256KT2MBPS,170.0
2020,Cyprus,,,,,ANYS,332080.0
2020,Cyprus,,,,,10MBPS,323653.0
2020,Cyprus,,,,,256KT2MBPS,5.0
2014,Liechtenstein,,,,,ANYS,15610.0
2014,Liechtenstein,,,,,10MBPS,12900.0
2014,Liechtenstein,,,,,2MT10MBPS,2249.0
2014,Liechtenstein,,,,,256KT2MBPS,369.0
2015,Liechtenstein,,,,,ANYS,15696.0
2015,Liechtenstein,,,,,10MBPS,13308.0
2015,Liechtenstein,,,,,256KT2MBPS,238.0
2015,Liechtenstein,,,,,2MT10MBPS,2150.0
2016,Liechtenstein,,,,,ANYS,15935.0
2016,Liechtenstein,,,,,2MT10MBPS,2027.0
2016,Liechtenstein,,,,,256KT2MBPS,15.0
2016,Liechtenstein,,,,,10MBPS,13893.0
2004,Spain,,,,,ANYS,3401411.0
2005,Spain,,,,,ANYS,5035203.0
2006,Spain,,,,,ANYS,6739110.0
2007,Spain,,,,,10MBPS,549037.0
2007,Spain,,,,,ANYS,8055780.0
2007,Spain,,,,,2MT10MBPS,5755324.0
2007,Spain,,,,,256KT2MBPS,1751419.0
2008,Spain,,,,,ANYS,9135959.0
2008,Spain,,,,,2MT10MBPS,6567055.0
2008,Spain,,,,,10MBPS,1103999.0
2008,Spain,,,,,256KT2MBPS,1464905.0
2009,Spain,,,,,2MT10MBPS,6761789.0
2020,Cyprus,,,,,2MT10MBPS,8422.0
2021,Cyprus,,,,,ANYS,340774.0
