Year,GeoAreaName,Name of non-communicable disease,Sex,Value
2010,Iceland,CAR,MALE,370
2010,Iceland,RES,BOTHSEX,132
2010,Iceland,CAN,FEMALE,270
2010,Iceland,DIA,FEMALE,10
2010,Iceland,RES,FEMALE,72
2010,Iceland,CAR,FEMALE,329
2010,Iceland,CAN,MALE,310
2015,Iceland,CAR,FEMALE,326
2015,Iceland,CAN,FEMALE,305
2015,Iceland,DIA,MALE,18
2000,Czechia,RES,FEMALE,1314
2000,Czechia,CAN,FEMALE,12666
2000,Czechia,DIA,BOTHSEX,1404
2000,Czechia,CAN,BOTHSEX,28512
2000,Czechia,RES,BOTHSEX,3300
2000,Czechia,CAR,MALE,25489
2005,Czechia,CAR,FEMALE,30125
2005,Czechia,CAN,FEMALE,12599
2005,Czechia,DIA,FEMALE,814
2015,Armenia,RES,BOTHSEX,1498
2015,Armenia,DIA,BOTHSEX,1298
2015,Armenia,DIA,MALE,483
2015,Armenia,RES,MALE,745
2015,Armenia,CAN,MALE,3418
2015,Armenia,CAR,MALE,6274
2015,Armenia,CAR,FEMALE,6840
2015,Armenia,CAN,FEMALE,2756
2015,Armenia,CAN,BOTHSEX,6175
2015,Iceland,RES,MALE,64
2015,Iceland,CAR,MALE,363
2015,Iceland,CAN,MALE,332
2015,Iceland,RES,FEMALE,75
2015,Iceland,CAR,BOTHSEX,688
2015,Iceland,DIA,BOTHSEX,28
2015,Iceland,CAN,BOTHSEX,636
2015,Iceland,RES,BOTHSEX,138
2015,Iceland,DIA,FEMALE,9
2005,Czechia,CAN,MALE,15741
2005,Czechia,RES,MALE,2344
2005,Czechia,RES,FEMALE,1610
2005,Czechia,DIA,BOTHSEX,1432
2005,Czechia,CAR,BOTHSEX,54123
2005,Czechia,RES,BOTHSEX,3954
2005,Czechia,CAN,BOTHSEX,28340
2005,Czechia,CAR,MALE,23998
2005,Czechia,DIA,MALE,618
2019,Iceland,DIA,BOTHSEX,36
2019,Iceland,CAR,FEMALE,329
2019,Iceland,DIA,MALE,24
2019,Iceland,CAN,MALE,337
2019,Iceland,RES,MALE,64
